,Training Score,Testing Score,Coefficent,y intercept
Water,0.6384016706528952,0.6042649119520389,0.39547711412913034,36.30406516551482
Birth Per Woman,0.6290160026648293,0.6037171462191322,-4.8106120079834005,83.75703093766904
Schooling,0.5588055990007295,0.5137365483188331,2.404271009478065,40.19052778895063
Adult Mortality,0.5266230997714385,0.5560944170443666,-0.051803112280937626,78.52028287672357
Hiv/Aids,0.38545733208615485,0.3559672830375478,-1.027649020427807,71.73664553750669
Bmi,0.327451741857107,0.32849176029168603,0.2645450330635063,59.6127714713632
Thinness 5-9 Years,0.25616425344838534,0.23119676865023442,-1.0131724834226836,74.58319520008483
Thinness 1-19 Years,0.2533272825004915,0.22593366006619964,-1.0278250995810607,74.67160898902303
Alcohol,0.21386689665441883,0.06323377444435441,1.0303331494737595,64.85069449214615
Gdp,0.2102526060889267,0.14964570917207332,0.0003528704001772207,67.72890461152289
Status Developed,0.1956016207943031,0.2185334297475804,10.615450861195539,68.11312056737589
Percentage Expenditure,0.18071628411801088,0.14151074278416378,0.0020617509912548688,68.29613607486712
Diphtheria,0.13194030336030627,0.21055106002720325,0.1563282287446727,56.643070220325384
Polio,0.1298523120908872,0.12188379632207602,0.14904874684054484,57.53684438499476
Hepatitis B,0.051788847012250505,0.04802644630481778,0.0810244674296199,63.357070649090154
Under-Five Deaths,0.04326038109370334,0.04473314180082888,-0.010618995063968906,70.21103822125227
Infant Deaths,0.034584899775950806,0.04124844717066911,-0.011873062495298244,70.33539725023829
Total Expenditure,0.031350635958210527,0.042384837400829656,0.7085324637452773,65.54418502333857
Fdi,0.01116592329613797,0.0208971675762335,0.04253978198693434,69.53399549395427
Measles,0.005257955791541202,0.013288845297047547,-6.43376431447656e-05,70.10742099555095
Population,0.0017245962522181026,-0.01990316305589168,-4.9364618090228145e-09,69.68243605829193
Military,0.00013149904922771238,-0.0013699358988668031,-0.0840159240991572,70.16234911066715
