,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,y intercept
Hiv/Aids & Income Composition Of Resources,0.7681347146066454,0.7957533814506754,Income Composition Of Resources,-0.6294305142347656,Hiv/Aids,36.61410799868773,47.07066640709995
Birth Per Woman & Hiv/Aids,0.7515784291432867,0.789750246660605,Birth Per Woman,-3.9611102121615946,Hiv/Aids,-0.6717558269123576,82.33872868597733
Adult Mortality & Schooling,0.7375845253406845,0.7889303784381039,Adult Mortality,-0.03549175738570533,Schooling,1.6338969061572655,55.529342617294276
Adult Mortality & Water,0.7636711481580742,0.7739862968031948,Adult Mortality,-0.030324985324623684,Water,0.2806716219492029,51.26770967622604
Income Composition Of Resources & Total Expenditure,0.6131151959786683,0.7603387473710096,Income Composition Of Resources,41.88855134474756,Total Expenditure,0.22329890057960308,41.10646638642278
Adult Mortality & Income Composition Of Resources,0.7989097373758678,0.7570105874645443,Adult Mortality,-0.030415245194906185,Income Composition Of Resources,33.3810848235244,52.982376238551
Hiv/Aids & Water,0.7602653106938271,0.7566337926655137,Water,-0.6901387406121864,Hiv/Aids,0.3197695942837694,44.34710893850974
Fdi & Income Composition Of Resources,0.6173491100668334,0.7479503397905569,Fdi,0.013613620720310037,Income Composition Of Resources,42.95611451504727,41.613744104327694
Income Composition Of Resources & Military,0.6181563784633956,0.7414382255254821,Military,42.73273964081577,Income Composition Of Resources,0.4268235281542392,41.153416791902956
Adult Mortality & Birth Per Woman,0.7824784888464654,0.7286633407072481,Adult Mortality,-0.031180040848925186,Birth Per Woman,-3.5385717170257265,85.09742993491923
Hiv/Aids & Schooling,0.7624767807882856,0.7197421423949473,Schooling,-0.7697250815796169,Hiv/Aids,2.0083894248385454,46.46265355641961
Income Composition Of Resources & Water,0.7110855068853177,0.7156218458338668,Water,27.160182697477392,Income Composition Of Resources,0.20421900809520177,34.76537223264173
Schooling & Water,0.6698528393326738,0.7063069155733892,Water,1.0214993761187718,Schooling,0.27698589059314893,33.875278607909415
Birth Per Woman & Income Composition Of Resources,0.7257064248312635,0.697129880572397,Birth Per Woman,-2.386473762573717,Income Composition Of Resources,29.174189183086998,57.39935593292154
Thinness 1-19 Years & Water,0.6690427089115114,0.6932650943252565,Water,-0.43235219911445116,Thinness 1-19 Years,0.34641084481066525,42.799162007090715
Birth Per Woman & Gdp,0.6555484376109779,0.6896255217804286,Birth Per Woman,-4.532385232469462,Gdp,0.0001467542250305127,81.86722181826656
