,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,y intercept
Adult Mortality & Birth Per Woman,0.7773748712402466,0.7406687432293738,Adult Mortality,-0.031770844915280365,Birth Per Woman,-3.5190614027176874,85.19151502874853
Birth Per Woman & Hiv/Aids,0.762026322309208,0.7622019641643372,Birth Per Woman,-4.061147183917688,Hiv/Aids,-0.6956455593021004,82.77783083354538
Adult Mortality & Water,0.7591294075160325,0.7880852679215221,Adult Mortality,-0.03008563792317798,Water,0.28258592401817434,50.97388080991432
Hiv/Aids & Water,0.7567765257537806,0.7706542048139324,Water,-0.647891668312684,Hiv/Aids,0.3266109443366341,43.59786387694339
Hiv/Aids & Schooling,0.7527198873570808,0.7515913767775942,Schooling,-0.8034483565006904,Hiv/Aids,2.050809523794195,46.035833741680584
Adult Mortality & Schooling,0.7364787734398219,0.7857787569491678,Adult Mortality,-0.033327902843970296,Schooling,1.747812082741322,53.56217737521772
Thinness 5-9 Years & Water,0.6927074300881271,0.6579816136328565,Water,-0.5504065566396874,Thinness 5-9 Years,0.3370377939122494,43.951831488079776
Birth Per Woman & Water,0.6882283913973453,0.6359340102990823,Water,-2.595712113128034,Birth Per Woman,0.21766136151980897,59.14736097431356
Schooling & Water,0.6854244301765746,0.6600464150996793,Water,1.0768714395184042,Schooling,0.2691584634262866,33.915282737021286
Birth Per Woman & Schooling,0.6749313656623901,0.6617964987230375,Birth Per Woman,-3.3602642629280806,Schooling,1.048009969434804,66.4646208954075
Birth Per Woman & Thinness 5-9 Years,0.6707563835738548,0.6393066019527572,Birth Per Woman,-4.414132931002273,Thinness 5-9 Years,-0.4539827697058094,84.5591349529792
Birth Per Woman & Gdp,0.6685144456108152,0.6508680712614776,Birth Per Woman,-4.251870795031256,Gdp,0.0001647993072264649,81.09487808707833
Percentage Expenditure & Water,0.6661669960191583,0.6594982310399841,Water,0.0008564895215565363,Percentage Expenditure,0.3691219482910056,38.110275399803086
Thinness 1-19 Years & Water,0.6648842164860269,0.7048397166075656,Water,-0.4712019993378216,Thinness 1-19 Years,0.34544006618399115,43.0146592895217
Bmi & Water,0.6597792483244167,0.6469325347520658,Water,0.08982191901833456,Bmi,0.34060787573778645,37.62153080655435
