,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,y intercept
Adult Mortality & Income Composition Of Resources,0.7838112221655478,0.8043262092845078,Adult Mortality,-0.031155121316631302,Income Composition Of Resources,32.337964809691826,53.76654672070178
Adult Mortality & Water,0.7533618972912006,0.8020418544879683,Adult Mortality,-0.03110126263384613,Water,0.2763824897049609,51.74901398149381
Hiv/Aids & Income Composition Of Resources,0.7721394263004124,0.7815415062395706,Income Composition Of Resources,-0.6697944300575223,Hiv/Aids,37.131217035859365,46.83139152950811
Diphtheria & Income Composition Of Resources,0.620295907589041,0.768315820368122,Income Composition Of Resources,0.03927017674664373,Diphtheria,41.05231551239156,39.58496348588902
Hiv/Aids & Water,0.7580068362486285,0.7643021700575211,Water,-0.6924499749012631,Hiv/Aids,0.322167952899399,43.98373325652321
Hiv/Aids & Schooling,0.7492741166566019,0.7630884169187261,Schooling,-0.8191227803234952,Hiv/Aids,2.006528263085489,46.58978034548064
Adult Mortality & Schooling,0.7465273773850198,0.7617495118949151,Adult Mortality,-0.03489540901973341,Schooling,1.7080453786178629,54.457165368355575
Birth Per Woman & Hiv/Aids,0.7638144695863467,0.7573733129001905,Birth Per Woman,-4.114250126036985,Hiv/Aids,-0.6634336535479405,82.80879720007438
Adult Mortality & Birth Per Woman,0.7760824363198517,0.7487821199429578,Adult Mortality,-0.030871891760331942,Birth Per Woman,-3.4812184447030243,84.81599733835331
Income Composition Of Resources & Thinness 5-9 Years,0.6360193082673027,0.7417375460209636,Income Composition Of Resources,38.97121160404442,Thinness 5-9 Years,-0.2865111035050565,45.71082833774627
Income Composition Of Resources & Population,0.6234148323201505,0.7329082715646457,Income Composition Of Resources,44.003052003965145,Population,3.438196978950123e-10,40.88753941817338
Bmi & Income Composition Of Resources,0.6457281634846146,0.7144820332849825,Income Composition Of Resources,0.07938432780765389,Bmi,37.49570255880096,42.29832659630025
