,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,y intercept
Adult Mortality & Thinness 1-19 Years,0.6441933663861393,0.54735629098084,Adult Mortality,-0.04573380369627015,Thinness 1-19 Years,-0.6094129531864944,80.32877479387349
Adult Mortality & Bmi,0.6380697120010641,0.641347928750813,Adult Mortality,-0.04145587053937265,Bmi,0.17078613743895785,69.98361843364367
Adult Mortality & Thinness 5-9 Years,0.6349385122592617,0.5575130019106351,Adult Mortality,-0.04559647950507024,Thinness 5-9 Years,-0.5763074791597353,80.15818534302618
Adult Mortality & Diphtheria,0.6005277818682384,0.5382455238685254,Adult Mortality,-0.04735733970256912,Diphtheria,0.10476769671939519,68.85928579170218
Bmi & Hiv/Aids,0.5800258764527311,0.5390569160748988,Hiv/Aids,0.20814263713834955,Bmi,-0.909588513156342,63.61074287551339
Adult Mortality & Hiv/Aids,0.5778706121772634,0.5469791041284963,Adult Mortality,-0.04175238944564869,Hiv/Aids,-0.4028474650848252,77.52224439054847
Adult Mortality & Polio,0.560050027180251,0.5991652266905638,Adult Mortality,-0.04864685879895044,Polio,0.07615771855534617,71.52761375309322
Adult Mortality & Under-Five Deaths,0.5513491581543788,0.592818850498388,Adult Mortality,-0.051533092273540054,Under-Five Deaths,-0.008785873768381705,78.85134638346285
Adult Mortality & Measles,0.5462656789841478,0.5284720129669909,Adult Mortality,-0.05187025124481467,Measles,-7.890328034253207e-05,78.7750769630872
Adult Mortality & Hepatitis B,0.5369590736632667,0.5989411142387946,Adult Mortality,-0.04930563534069375,Hepatitis B,0.04619464934414795,74.36167059181226
Hiv/Aids & Thinness 5-9 Years,0.5236792925119742,0.5162768529466718,Hiv/Aids,-0.8805148467297739,Thinness 5-9 Years,-0.7735616848615643,75.28693850930296
Hiv/Aids & Thinness 1-19 Years,0.5206385663783997,0.5353883697164127,Thinness 1-19 Years,-0.94766820442641,Hiv/Aids,-0.7292265000229747,75.10675838459755
Adult Mortality & Infant Deaths,0.5205104597626826,0.6640201420131598,Adult Mortality,-0.04995210439905351,Infant Deaths,-0.00900623940758244,78.42760617228745
Diphtheria & Hiv/Aids,0.4669143387266837,0.4387363778787896,Hiv/Aids,0.1288381144125625,Diphtheria,-0.9494099700474736,60.698848171202705
Hiv/Aids & Polio,0.4611013918129978,0.40762264795447356,Hiv/Aids,-1.0088570317424086,Polio,0.11806183418189618,61.63612019565093
