,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,y intercept
Adult Mortality & Bmi,0.6538938590246602,0.5968252625811785,Adult Mortality,-0.04349873338572713,Bmi,0.15722001540359185,71.05046804827451
Adult Mortality & Thinness 5-9 Years,0.6198394218592631,0.6036139221771998,Adult Mortality,-0.04557881792793951,Thinness 5-9 Years,-0.584116319440759,80.13829145282077
Adult Mortality & Thinness 1-19 Years,0.6171985964207247,0.6233918849773994,Adult Mortality,-0.046216656802793306,Thinness 1-19 Years,-0.5900816822841423,80.3770392607047
Adult Mortality & Hiv/Aids,0.5935886444870282,0.49956964085360056,Adult Mortality,-0.04225421922564828,Hiv/Aids,-0.4333534521458237,77.66102152821485
Adult Mortality & Diphtheria,0.5925410165523973,0.5550937433556475,Adult Mortality,-0.04827191495507325,Diphtheria,0.09955608942037629,69.44856555832666
Adult Mortality & Polio,0.5797972077850746,0.53113083194315,Adult Mortality,-0.047946440944233996,Polio,0.08805891851032317,70.25901746618258
Adult Mortality & Hepatitis B,0.5787899835179786,0.4652273661921005,Adult Mortality,-0.05151088968958869,Hepatitis B,0.04105632542411584,75.2615235473814
Adult Mortality & Under-Five Deaths,0.5639256096030039,0.5556307255057029,Adult Mortality,-0.050856596697587055,Under-Five Deaths,-0.007807663529399673,78.58059457489196
Adult Mortality & Infant Deaths,0.5579642789169257,0.5621666602972573,Adult Mortality,-0.05098446710200822,Infant Deaths,-0.010715922386189231,78.73891999695404
Bmi & Hiv/Aids,0.554453674771525,0.6102465777456958,Hiv/Aids,0.2017574299489867,Bmi,-0.8871003152395669,63.74975261530372
Hiv/Aids & Thinness 5-9 Years,0.5402946610431387,0.4640454917070962,Hiv/Aids,-0.9441144114886229,Thinness 5-9 Years,-0.788164398378557,75.43436162705966
Adult Mortality & Measles,0.5386881542587374,0.5520433942331319,Adult Mortality,-0.051753252397648684,Measles,-7.63563648700935e-05,78.69042514064755
Hiv/Aids & Thinness 1-19 Years,0.5299304531884017,0.5084241527262523,Thinness 1-19 Years,-0.9304753830914967,Hiv/Aids,-0.8018264232747037,75.22375090951856
Diphtheria & Hiv/Aids,0.45748355119505374,0.46751703075228435,Hiv/Aids,0.12276105816860836,Diphtheria,-0.9739405186228485,61.33079347092895
Hiv/Aids & Polio,0.45636918624814293,0.41029200615772465,Hiv/Aids,-1.0831567946979133,Polio,0.10738649447542781,63.03800630684442
Hiv/Aids & Infant Deaths,0.43831794808171437,0.33802797395644335,Hiv/Aids,-1.04521015413159,Infant Deaths,-0.012621473735664157,72.37772763545468
Hiv/Aids & Under-Five Deaths,0.41339204489068704,0.42726400409318877,Hiv/Aids,-1.029747769025288,Under-Five Deaths,-0.010249376096457275,72.12492406135337
Hepatitis B & Hiv/Aids,0.3838308025567344,0.4635081317872236,Hiv/Aids,0.06089176666840048,Hepatitis B,-1.0725411565747889,66.98250520698862
Bmi & Thinness 1-19 Years,0.3814659869187115,0.384275221427001,Thinness 1-19 Years,0.18126274776023224,Bmi,-0.6611439972135392,66.01798447864911
Bmi & Polio,0.38122008448176226,0.39510939834198133,Polio,0.24181025035956188,Bmi,0.09304210984626975,52.616203609712414
Bmi & Diphtheria,0.378600513151092,0.44421205489345944,Diphtheria,0.2332846702352699,Bmi,0.10598340006496972,52.04187819167657
Hiv/Aids & Measles,0.37493317754088246,0.43043690537720747,Hiv/Aids,-1.0576934298595035,Measles,-8.36403046594237e-05,72.07368919265511
Bmi & Thinness 5-9 Years,0.3748566722649044,0.4086704392797077,Bmi,0.19435565280775993,Thinness 5-9 Years,-0.5498136228875258,64.94543193090858
Bmi & Measles,0.34952096677890676,0.2660632356528797,Bmi,0.2742230917980723,Measles,2.9275050159959116e-05,59.18667564613878
Bmi & Under-Five Deaths,0.33984433220907706,0.3080360850940157,Under-Five Deaths,0.25695143512032653,Bmi,-0.003287210105724587,60.22990394151765
Bmi & Infant Deaths,0.32936005470839935,0.33107439156264046,Bmi,0.2586855213528835,Infant Deaths,-0.0028138609702748974,60.13515407797839
Polio & Thinness 5-9 Years,0.3245368136422494,0.2761003034953833,Polio,0.10238777815718866,Thinness 5-9 Years,-0.9621224646958404,65.75662304952402
Bmi & Hepatitis B,0.32273561407658646,0.3826211777113843,Bmi,0.23809700720762947,Hepatitis B,0.045897128462343714,57.26866493649636
Polio & Thinness 1-19 Years,0.3195328668773121,0.3079637825171452,Thinness 1-19 Years,0.10524244111809739,Polio,-0.8927846523948906,65.27962172685793
Diphtheria & Thinness 1-19 Years,0.30912745990347223,0.34693864277532405,Thinness 1-19 Years,0.12082894717913555,Diphtheria,-0.8048329083605273,63.498734131664115
Diphtheria & Thinness 5-9 Years,0.28335312024242565,0.42096419777026617,Diphtheria,0.1205088225863437,Thinness 5-9 Years,-0.7493063498952522,63.180063772214496
Hepatitis B & Thinness 1-19 Years,0.26914506874753363,0.25207088725277726,Thinness 1-19 Years,0.047630664080641996,Hepatitis B,-0.9204215153402618,70.52518950461635
Hepatitis B & Thinness 5-9 Years,0.2661269613333871,0.27056294569538153,Hepatitis B,0.04462708535099776,Thinness 5-9 Years,-0.9257149370629246,70.7589970608537
Thinness 5-9 Years & Under-Five Deaths,0.25760950888822143,0.23565057638057307,Under-Five Deaths,-1.0756853471112184,Thinness 5-9 Years,0.002991960303740839,74.75294157876536
Infant Deaths & Thinness 1-19 Years,0.249020334977614,0.264660690419522,Thinness 1-19 Years,0.008523533825154316,Infant Deaths,-1.089569766965331,74.68693915551793
Measles & Thinness 1-19 Years,0.24832488811673947,0.23347906994326473,Thinness 1-19 Years,1.1275705911725563e-05,Measles,-1.028114671363173,74.45146725981294
Thinness 1-19 Years & Under-Five Deaths,0.24344142924330292,0.27082488540357974,Thinness 1-19 Years,-1.036990586217625,Under-Five Deaths,0.002998542613719613,74.61352873244296
Infant Deaths & Thinness 5-9 Years,0.2425425610503353,0.29614474201578467,Infant Deaths,0.006864385729865876,Thinness 5-9 Years,-1.0407620111493667,74.5599335206638
Measles & Thinness 5-9 Years,0.2402974769812234,0.28007225157814764,Measles,-5.359212009564234e-06,Thinness 5-9 Years,-1.0069188783362402,74.52648110631756
Thinness 1-19 Years & Thinness 5-9 Years,0.23209913577194208,0.35160751693237074,Thinness 1-19 Years,-0.4494954447079864,Thinness 5-9 Years,-0.5605722497739807,74.46181910903181
Diphtheria & Polio,0.19544468692879902,0.09476117363985159,Diphtheria,0.13413757478754423,Polio,0.0818735465369843,51.56739737767709
Diphtheria & Under-Five Deaths,0.17609313179150976,0.13900826094591545,Diphtheria,0.16574171648025554,Under-Five Deaths,-0.00662761759711228,55.90133884143668
Polio & Under-Five Deaths,0.15984123332881583,0.12664114973617002,Polio,0.14106407369877633,Under-Five Deaths,-0.006472944987012013,58.34279272866378
Diphtheria & Infant Deaths,0.156095685731221,0.19880102074780048,Diphtheria,0.1530844509687922,Infant Deaths,-0.009090832004518745,57.16983529361181
Diphtheria & Measles,0.1502180192694098,0.17106859125707574,Diphtheria,0.16429571169965834,Measles,-5.516119046686802e-05,56.04564049349198
Infant Deaths & Polio,0.14355380331780032,0.15571273731833868,Polio,-0.009082910089044337,Infant Deaths,0.1338023774050774,59.088530607741056
Infant Deaths & Under-Five Deaths,0.13940842371711504,0.12531222466973513,Under-Five Deaths,0.2683379988252889,Infant Deaths,-0.20987599511651764,70.4367639077906
Diphtheria & Hepatitis B,0.13844985457638337,0.18658517172291222,Diphtheria,0.1618538887788118,Hepatitis B,-0.0014190003046407698,56.40001035547937
Hepatitis B & Polio,0.13130095522509244,0.14577157155109066,Polio,0.03341999905459227,Hepatitis B,0.12595983502801586,56.71570743190429
Measles & Polio,0.12244539187023373,0.1561096076314925,Polio,-4.299299501378231e-05,Measles,0.1344636417499113,58.539275797481835
Hepatitis B & Under-Five Deaths,0.07220349547608818,0.08945136522230401,Under-Five Deaths,0.05700844462655157,Hepatitis B,-0.010090987398525226,65.86989015495874
Hepatitis B & Infant Deaths,0.06445496027870823,0.08688319765050923,Hepatitis B,0.058700354328955956,Infant Deaths,-0.010064315262841838,65.57055252033378
Hepatitis B & Measles,0.05475852250841551,0.04631510843521137,Measles,0.07751080027037645,Hepatitis B,-4.3505049398185606e-05,63.654111733677595
Measles & Under-Five Deaths,0.044248324990035726,0.052098590706952,Under-Five Deaths,7.838388710284072e-06,Measles,-0.010217137585256766,70.39831552330278
Infant Deaths & Measles,0.0398946053311543,0.017291423995410393,Measles,-0.017588039563057642,Infant Deaths,3.4127853579204186e-05,70.43187256310479
