,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,y intercept
Adult Mortality & Thinness 1-19 Years,0.5959605159200031,0.6809787825726936,Adult Mortality,-0.044822820783081245,Thinness 1-19 Years,-0.6208265733389626,80.13598736827885
Adult Mortality & Diphtheria,0.5655478492390988,0.6302416072809897,Adult Mortality,-0.04772939614837464,Diphtheria,0.10167284203189039,69.10339430816535
Adult Mortality & Bmi,0.6477416179512678,0.6164282997886859,Adult Mortality,-0.04302045881850085,Bmi,0.16494012604528555,70.62242766624726
Bmi & Hiv/Aids,0.5578575398277124,0.6126449218407025,Hiv/Aids,0.20282043749359066,Bmi,-0.8514543279572014,63.72506716766726
Hiv/Aids & Thinness 1-19 Years,0.49606361621368666,0.6049813019012787,Thinness 1-19 Years,-0.8855035356805865,Hiv/Aids,-0.7587450952979462,75.10023536086058
Adult Mortality & Thinness 5-9 Years,0.6225021375354671,0.5918578165993031,Adult Mortality,-0.04549841396079401,Thinness 5-9 Years,-0.598035957914188,80.10489286457413
Adult Mortality & Hiv/Aids,0.5663886012052557,0.5832837422350092,Adult Mortality,-0.03980458458725896,Hiv/Aids,-0.4404708543640433,77.32046393764554
Adult Mortality & Measles,0.5341430617524789,0.5678154133994374,Adult Mortality,-0.05119065937395018,Measles,-7.692832213918571e-05,78.499047321592
Adult Mortality & Polio,0.5812458479599046,0.5399439952329312,Adult Mortality,-0.04879950676800001,Polio,0.0778531259497174,71.41853002848978
Adult Mortality & Under-Five Deaths,0.5716999563767184,0.52837423850526,Adult Mortality,-0.05112898855730998,Under-Five Deaths,-0.007379812274115755,78.68552526245237
Adult Mortality & Hepatitis B,0.5598252983723874,0.5246320430921694,Adult Mortality,-0.051262885298792034,Hepatitis B,0.040533600021997754,75.31415359322556
Hiv/Aids & Thinness 5-9 Years,0.5267186683911398,0.5051179720445458,Hiv/Aids,-0.9392086429494837,Thinness 5-9 Years,-0.762527101995746,75.34293568368211
Adult Mortality & Infant Deaths,0.5776175264231627,0.4990304655811232,Adult Mortality,-0.052026975405242364,Infant Deaths,-0.010483693605873534,79.02346184734292
Diphtheria & Hiv/Aids,0.4536265492168061,0.47270313607874204,Hiv/Aids,0.11184060602371736,Diphtheria,-0.970438067060539,62.365902588716196
Bmi & Thinness 1-19 Years,0.36179147951410806,0.4590752439339034,Thinness 1-19 Years,0.19220605141556293,Bmi,-0.5588379256548056,65.14950605377707
Hepatitis B & Hiv/Aids,0.3872957419421472,0.44574548182758356,Hiv/Aids,0.0571817548932797,Hepatitis B,-1.057451562031656,67.23490829369317
Bmi & Diphtheria,0.38650733459893083,0.4263408543450159,Diphtheria,0.22819202421985682,Bmi,0.11847257052877883,50.931321928873245
Bmi & Thinness 5-9 Years,0.3692483485913486,0.42090263664105076,Bmi,0.1911455806344741,Thinness 5-9 Years,-0.5349818772120054,65.13067727122755
Hiv/Aids & Infant Deaths,0.41089482126913235,0.4096442519037333,Hiv/Aids,-1.0493275028834401,Infant Deaths,-0.011636074137428322,72.51496419645412
Hiv/Aids & Under-Five Deaths,0.4204431351332142,0.40649831693299926,Hiv/Aids,-1.0155592271807654,Under-Five Deaths,-0.008888002094032533,72.4292677980392
Hiv/Aids & Polio,0.46948685999022494,0.38970930877989746,Hiv/Aids,-1.0070291021219342,Polio,0.10912126778198407,62.70683786582582
Diphtheria & Thinness 5-9 Years,0.3027007448628055,0.36912926254074585,Diphtheria,0.10363677579393231,Thinness 5-9 Years,-0.8688941131985105,65.2181732054766
Bmi & Under-Five Deaths,0.3216307458763913,0.36456637176011986,Under-Five Deaths,0.2524063867776538,Bmi,-0.004725661195611439,60.33487334798076
Bmi & Polio,0.3919501109460881,0.3608561281419108,Polio,0.23980684496292545,Bmi,0.09237136076977254,53.089070965942526
Bmi & Hepatitis B,0.33744852822653404,0.35527588806569893,Bmi,0.24911660195003316,Hepatitis B,0.04900503349742936,56.444796340335486
Diphtheria & Thinness 1-19 Years,0.3092144109008549,0.34016202711638166,Thinness 1-19 Years,0.12105198754225899,Diphtheria,-0.8062224918168663,63.49875851151491
Bmi & Infant Deaths,0.32813727711409346,0.3340510913359169,Bmi,0.25778188469151003,Infant Deaths,-0.002340397522625516,60.123717015258336
Hiv/Aids & Measles,0.4032004517176091,0.3268077785067085,Hiv/Aids,-1.0716717980725463,Measles,-0.00012648820556916175,72.20048303591507
Polio & Thinness 1-19 Years,0.31907072101373435,0.3036951266875366,Thinness 1-19 Years,0.10332297881873465,Polio,-0.950704009649858,65.53046938471424
Hepatitis B & Thinness 5-9 Years,0.25711892145991455,0.2966377324701288,Hepatitis B,0.05409051854102556,Thinness 5-9 Years,-0.9179527702025355,69.82349619483902
Measles & Thinness 5-9 Years,0.23841416641559865,0.28035645312684865,Measles,2.045423923812717e-05,Thinness 5-9 Years,-0.9449193586389507,74.43044519101679
Polio & Thinness 5-9 Years,0.327922906142075,0.2759731347532529,Polio,0.10584130958155438,Thinness 5-9 Years,-0.8942224278678805,65.30052552186945
Measles & Thinness 1-19 Years,0.24098547974547377,0.25757014836994596,Thinness 1-19 Years,3.419635262258143e-05,Measles,-0.9580100385968116,74.25493674346157
Bmi & Measles,0.34975781347790236,0.25695382376397413,Bmi,0.2766351353775326,Measles,7.465878994164049e-06,59.086870887281236
Infant Deaths & Thinness 5-9 Years,0.26069076149383363,0.24739277705347584,Infant Deaths,0.006765795018944584,Thinness 5-9 Years,-1.1145099590315537,74.91571183613013
Hepatitis B & Thinness 1-19 Years,0.2693285221277114,0.24468983000924016,Thinness 1-19 Years,0.041812152567673185,Hepatitis B,-0.9483732182991463,71.22503972563644
Thinness 1-19 Years & Thinness 5-9 Years,0.26247875667839515,0.24440906462217526,Thinness 1-19 Years,-0.6792914557193979,Thinness 5-9 Years,-0.37195656795208515,74.8484847420118
Infant Deaths & Thinness 1-19 Years,0.2555409190001072,0.2416610653802197,Thinness 1-19 Years,0.006141123462989559,Infant Deaths,-1.08885646894705,74.56423233153333
Thinness 1-19 Years & Under-Five Deaths,0.2515455734168489,0.2370216404598271,Thinness 1-19 Years,-1.047896357934872,Under-Five Deaths,0.0016419871591535492,74.48756816506545
Thinness 5-9 Years & Under-Five Deaths,0.2647483977117613,0.21933325513215807,Under-Five Deaths,-1.0630377834995746,Thinness 5-9 Years,0.003039113371301724,74.80538751368687
Diphtheria & Hepatitis B,0.13108437073991863,0.2147785711840888,Diphtheria,0.15019783245008714,Hepatitis B,0.0028750567373016464,56.9238048126836
Diphtheria & Polio,0.16664454802134632,0.20348652666823572,Diphtheria,0.11942687135446714,Polio,0.07155095973422752,53.64323959624422
Polio & Under-Five Deaths,0.14796151153747017,0.16616300106287019,Polio,0.13067665380378135,Under-Five Deaths,-0.007949421096921205,59.40191607918401
Diphtheria & Measles,0.15846161036862982,0.1473831744341224,Diphtheria,0.16725403904734573,Measles,-5.352797061308771e-05,55.876389693923855
Measles & Polio,0.12996362067182576,0.14301827134911416,Polio,-5.955440498955958e-05,Measles,0.14288024328272858,57.95100441672146
Diphtheria & Infant Deaths,0.1782762607014996,0.13030747772895945,Diphtheria,0.155628642083688,Infant Deaths,-0.009666493689553702,57.1515491915035
Infant Deaths & Under-Five Deaths,0.14204439202149655,0.1123336605288967,Under-Five Deaths,0.26751510813225404,Infant Deaths,-0.20827547011132166,70.31594512345282
Diphtheria & Under-Five Deaths,0.18710548086620582,0.11134868794519814,Diphtheria,0.15911776283492432,Under-Five Deaths,-0.007370967489198091,56.725460586679304
Hepatitis B & Under-Five Deaths,0.06991035123314049,0.09860145931488418,Under-Five Deaths,0.06009554365550013,Hepatitis B,-0.0077409551807934894,65.60117780945824
Hepatitis B & Polio,0.14505431466257257,0.09349091586466274,Polio,0.03226792542075082,Hepatitis B,0.13945987684512037,55.51677773159732
Infant Deaths & Polio,0.16560857907464888,0.08277776913726653,Polio,-0.010354492990128495,Infant Deaths,0.14841531616135456,57.78224679684849
Infant Deaths & Measles,0.03258943091108257,0.0438342247207274,Measles,-0.011808827623266288,Infant Deaths,1.1984483422102701e-05,70.21149779581955
Hepatitis B & Measles,0.058573956341589795,0.04025562084652101,Measles,0.07897501258231752,Hepatitis B,-4.9478261676908125e-05,63.88420128312142
Hepatitis B & Infant Deaths,0.08035261468664257,0.03579124402721612,Hepatitis B,0.06356786500772846,Infant Deaths,-0.013024132406506544,65.4984873735604
Measles & Under-Five Deaths,0.06336619971322133,-0.03569221356340213,Under-Five Deaths,9.264763501627284e-05,Measles,-0.015779744929263387,70.64630881314629
