,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,y intercept
Income Composition Of Resources & Water,0.69537543297207,0.7553580792669232,Water,24.592387540711247,Income Composition Of Resources,0.21002531922477763,36.01977503433357
Income Composition Of Resources & Military,0.6336054023482007,0.701911837964879,Military,43.645475333290854,Income Composition Of Resources,0.4622671625437919,40.46618215544833
Gdp & Income Composition Of Resources,0.6377416112701118,0.7012709588403827,Income Composition Of Resources,7.332814162007149e-05,Gdp,41.18214583306153,42.457118190647606
Fdi & Income Composition Of Resources,0.6333701523593529,0.6892023254535837,Fdi,0.011865463363796283,Income Composition Of Resources,43.048852536300885,41.56403939290969
Income Composition Of Resources & Schooling,0.6556699053428332,0.6795911484107281,Schooling,37.04999587727689,Income Composition Of Resources,0.5757457964723312,38.357533266786874
Schooling & Water,0.6795357522592302,0.6765050365596486,Water,1.0335912164828664,Schooling,0.2779006341074032,33.71702708239643
Birth Per Woman & Schooling,0.6704194129763599,0.6754576257101017,Birth Per Woman,-3.2706682243563505,Schooling,1.0672037190695742,66.04435037849188
Birth Per Woman & Gdp,0.6609839447314088,0.6736337619061844,Birth Per Woman,-4.436447220282887,Gdp,0.00015099685941987102,81.60143946059739
Alcohol & Income Composition Of Resources,0.6443962300093529,0.6734355145974183,Alcohol,-0.11683472386749183,Income Composition Of Resources,45.95474056631618,40.260459296899015
Birth Per Woman & Water,0.6788078554762624,0.6701410014590992,Water,-2.430235079616482,Birth Per Woman,0.2279960080692411,57.70358538840324
Birth Per Woman & Total Expenditure,0.6215342957999682,0.6665631393582493,Birth Per Woman,-4.772695853429578,Total Expenditure,0.37354516277910166,81.22182346905741
Alcohol & Water,0.6274488159957541,0.6629953419166374,Alcohol,0.1452841005461755,Water,0.38390533723661213,36.809726977956196
Birth Per Woman & Military,0.6098443707450202,0.658495211658091,Military,-4.736003977947957,Birth Per Woman,0.12593055819365734,83.11065993002241
Income Composition Of Resources & Total Expenditure,0.6499947731910528,0.6583214972764582,Income Composition Of Resources,45.07684660477786,Total Expenditure,0.1433071628778608,39.29704245081909
Total Expenditure & Water,0.6314103600970447,0.6581318215178666,Water,0.35276436440820763,Total Expenditure,0.38158534992312104,35.62197959255411
Gdp & Water,0.6678582320278637,0.6571543718639767,Water,0.0001461454064627662,Gdp,0.35017783853490697,39.537131831966846
Birth Per Woman & Percentage Expenditure,0.6623078763725422,0.6545743436837237,Birth Per Woman,-4.45107953202063,Percentage Expenditure,0.0009928246520186487,81.63762936892518
