,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,y intercept
Schooling & Water,0.6849831606718999,0.658935212217534,Water,1.054197805764622,Schooling,0.2718685200311507,33.87342414923986
Birth Per Woman & Water,0.6783563162168069,0.671388493555562,Water,-2.365149972896513,Birth Per Woman,0.23559819983225833,56.790820579116534
Percentage Expenditure & Water,0.6640856696542699,0.6669800667793717,Water,0.0009373539708237622,Percentage Expenditure,0.3645557540413112,38.51305071420232
Gdp & Water,0.663274394448119,0.6719868892113561,Water,0.00013999851296834763,Gdp,0.3568571933960136,38.97840148795329
Birth Per Woman & Schooling,0.6601116977665296,0.7041783413602364,Birth Per Woman,-3.2386434047659556,Schooling,1.073124456140883,65.79724861642688
Birth Per Woman & Gdp,0.6573288362167848,0.6858721697103747,Birth Per Woman,-4.456111803027477,Gdp,0.00014953225978375266,81.62151359451894
Birth Per Woman & Percentage Expenditure,0.6533068645272727,0.6827867341889771,Birth Per Woman,-4.483680898119228,Percentage Expenditure,0.000965934021604934,81.82911096128862
Population & Water,0.6463369895809463,0.5938717172535984,Water,-4.781685529788585e-09,Population,0.3914180038553223,37.07625681274319
Birth Per Woman & Military,0.6423025361314878,0.5610918923615461,Birth Per Woman,-4.885958868510853,Military,0.1447491194771786,83.49266048179635
Fdi & Water,0.6388096922405322,0.6191923563865217,Water,0.01814494166617679,Fdi,0.390594249129033,36.84344472400752
Total Expenditure & Water,0.6348886544372108,0.6490625714060319,Water,0.32770901249468726,Total Expenditure,0.39150112285508687,34.8815630657872
Alcohol & Water,0.6318668867621762,0.6455884667745803,Alcohol,0.14290150227931273,Water,0.377548362628585,37.43328585187292
Military & Water,0.6307610862190667,0.6358148821745049,Water,-0.08537965074745243,Military,0.3946253786339947,36.815115935192104
Birth Per Woman & Population,0.6303315180782443,0.6042355406574675,Birth Per Woman,-4.9283433266570515,Population,-4.5966015863391686e-09,83.98453589809824
Birth Per Woman & Total Expenditure,0.6296542907115706,0.6363919812569983,Birth Per Woman,-4.852757515747134,Total Expenditure,0.3717282244927109,81.28856101374998
Birth Per Woman & Fdi,0.6195342371555983,0.6409557602926039,Birth Per Woman,-4.819921687923806,Fdi,0.016007919923771576,83.50156285171279
Alcohol & Birth Per Woman,0.6085561018743197,0.6716054700403336,Alcohol,0.11854642900256178,Birth Per Woman,-4.622174258954638,82.42539453313235
Gdp & Schooling,0.569453206657272,0.5302277593324682,Schooling,8.147139695453568e-05,Gdp,2.2229358877008436,41.82764895026723
Alcohol & Schooling,0.565645615375135,0.4980493528807959,Alcohol,-0.08466891802474871,Schooling,2.427030214301737,40.29367931642129
Percentage Expenditure & Schooling,0.5604829009303437,0.5530379723194653,Schooling,0.0004931763592426967,Percentage Expenditure,2.2162777083819107,41.98465339631507
Military & Schooling,0.5525429377658206,0.5325570321976116,Schooling,0.15291835954015406,Military,2.327594380869284,40.84738732569353
Fdi & Schooling,0.5455910289372338,0.5641110304241491,Fdi,0.02336181868089273,Schooling,2.28659417092149,41.348077455808536
Population & Schooling,0.5325785270294756,0.5893916302949386,Schooling,1.6343947114884142e-09,Population,2.3315188002886007,40.94676326395941
Schooling & Total Expenditure,0.5269671071697162,0.6074304922892899,Schooling,2.3534691874985603,Total Expenditure,-0.02916473991767909,40.73989262206885
Alcohol & Gdp,0.2624943360554607,0.26589692113441277,Alcohol,0.6852385139384367,Gdp,0.00021257180111349045,65.2219952492345
Alcohol & Percentage Expenditure,0.25794150864654874,0.2129248950897957,Alcohol,0.6775152441776282,Percentage Expenditure,0.001503978974203806,65.38321698541728
Gdp & Total Expenditure,0.22561847627722056,0.15396758995321191,Gdp,0.00031957344659314666,Total Expenditure,0.5193952126701902,64.9861436227543
Gdp & Population,0.20740460515653547,0.16799262181899077,Population,0.00032801427453177904,Gdp,-2.2660759789384477e-09,67.8342562825871
Alcohol & Total Expenditure,0.1996892472320636,0.15422670399867044,Alcohol,0.8805920834366308,Total Expenditure,0.4833851557121897,62.79675507778786
Gdp & Percentage Expenditure,0.19933842957796566,0.18833071028830176,Gdp,0.0004266971372901866,Percentage Expenditure,-0.0008052441726875657,68.0495187783818
Fdi & Gdp,0.19925979925688841,0.2115985672952183,Fdi,0.02884936454593791,Gdp,0.000314487584815697,67.54493503042436
Alcohol & Fdi,0.19460608591363715,0.16343783147528532,Alcohol,0.9488380573453691,Fdi,0.034216400307097085,64.9294061878448
Gdp & Military,0.19281477080823461,0.20932578304887473,Gdp,0.00032547404458958395,Military,0.04128584078462187,67.91695479090771
Alcohol & Military,0.18413979929767366,0.1674405815641433,Alcohol,0.95996478247085,Military,0.4050852101860887,64.24865210134296
Fdi & Percentage Expenditure,0.18106938836919761,0.16557797101570218,Fdi,0.030458300092831396,Percentage Expenditure,0.0019315731038360181,68.25731916798301
Percentage Expenditure & Population,0.17659601515180146,0.14515436605628954,Population,0.0018796911282297332,Percentage Expenditure,-3.0266812735459535e-09,68.62751038181366
Percentage Expenditure & Total Expenditure,0.17314031534992058,0.20800411937935281,Total Expenditure,0.0018771162361162666,Percentage Expenditure,0.3360621181104222,66.36188156075853
Military & Percentage Expenditure,0.1658521462561221,0.1746191682230619,Percentage Expenditure,0.12473783049967674,Military,0.001991208055731276,68.36745645991556
Alcohol & Population,0.16272680763211544,0.23355816711346541,Alcohol,0.9080177581574239,Population,-5.033732120158247e-10,65.26513696988332
Fdi & Total Expenditure,0.05871709415228309,-0.015279920426890747,Fdi,0.036596476578498044,Total Expenditure,0.8589698752784428,64.34446058407966
Population & Total Expenditure,0.04007405903091987,0.01591103420741058,Population,-2.5783787699923015e-09,Total Expenditure,0.7756945331437836,65.21028932137179
Military & Total Expenditure,0.028033596152280515,0.05056941548777293,Total Expenditure,-0.01754138631866527,Military,0.6576629882703546,65.84511835016544
Fdi & Population,0.013128248722195646,0.015671459134368182,Fdi,0.04133961504939302,Population,-3.0032923556377125e-09,69.78792006864856
Fdi & Military,0.011627694668331134,0.016123287826734,Fdi,0.03632104208270486,Military,-0.043008135782805705,69.8334757744517
Military & Population,0.0012211665693506735,-0.0024353964162671105,Population,0.003843728927672308,Military,-3.936285650230116e-09,70.0980539670306
