,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,y intercept
Hiv/Aids & Schooling & Water,0.8142633685400823,0.8165949595799573,Water,-0.6780891878964151,Schooling,1.126641577094453,Hiv/Aids,0.190740855312427,41.127897211755496
Adult Mortality & Birth Per Woman & Hiv/Aids,0.8124910619952658,0.7673972114784544,Adult Mortality,-0.020439920228058524,Birth Per Woman,-3.464726369666459,Hiv/Aids,-0.4251023186697156,83.7944375249629
Birth Per Woman & Hiv/Aids & Schooling,0.8121916280033019,0.8239477394936893,Birth Per Woman,-2.4809163904401608,Schooling,-0.6750188450764129,Hiv/Aids,1.069780955494854,64.94502987593371
Adult Mortality & Thinness 5-9 Years & Water,0.8107982746649646,0.7482266906237258,Adult Mortality,-0.02950505406326912,Water,-0.3329370547059096,Thinness 5-9 Years,0.2581852200007419,54.51004739889045
Birth Per Woman & Hiv/Aids & Percentage Expenditure,0.8081992763470225,0.7648121276845242,Birth Per Woman,-3.578552616671403,Hiv/Aids,-0.6785949140268513,Percentage Expenditure,0.000942145472079666,80.62925265044643
Adult Mortality & Thinness 1-19 Years & Water,0.8043244005866854,0.754045422011607,Adult Mortality,-0.029363199951808423,Water,-0.33538303386313023,Thinness 1-19 Years,0.26388231293490216,54.12356358142502
Adult Mortality & Schooling & Water,0.8038238536945586,0.793992494031496,Adult Mortality,-0.029922836679936882,Water,0.9338817594715095,Schooling,0.1817691372646284,47.93454520745004
Birth Per Woman & Gdp & Hiv/Aids,0.8031745913821766,0.792683472937576,Birth Per Woman,-3.6403453064736975,Gdp,0.00015154838421151692,Hiv/Aids,-0.6728752295345115,80.55590158866282
Adult Mortality & Hiv/Aids & Schooling,0.8031337607783641,0.7862414289900154,Adult Mortality,-0.02396132238366744,Schooling,-0.4312190209602164,Hiv/Aids,1.7055706922309004,53.53600235046699
Adult Mortality & Birth Per Woman & Schooling,0.801544300402228,0.8036294670360424,Adult Mortality,-0.029183960960357042,Birth Per Woman,-2.169741313652376,Schooling,0.937327910280901,69.2368297577713
Birth Per Woman & Hiv/Aids & Thinness 1-19 Years,0.8006693143457103,0.7487650095683716,Birth Per Woman,-3.649584357112776,Thinness 1-19 Years,-0.65633150758394,Hiv/Aids,-0.3660385882812858,83.15865506859326
Adult Mortality & Birth Per Woman & Water,0.8004848246369197,0.7701045796481629,Adult Mortality,-0.030753414582119193,Water,-1.7544968077738274,Birth Per Woman,0.15811901001230924,66.69206285464708
Adult Mortality & Birth Per Woman & Gdp,0.7988073023217055,0.7760444680924743,Adult Mortality,-0.03029178750875586,Birth Per Woman,-3.1317415499587202,Gdp,0.00011840082259919742,83.1541494286819
Hiv/Aids & Percentage Expenditure & Water,0.7982728854549849,0.774866846432511,Water,-0.6657739231102,Hiv/Aids,0.0009454679243989481,Percentage Expenditure,0.30413047479120536,44.675154910571365
Adult Mortality & Status Developed & Water,0.7971813366279091,0.7345940023236686,Adult Mortality,-0.029462707412294904,Status Developed,3.2093699895080476,Water,0.2585538300121238,52.54649473023274
Hiv/Aids & Thinness 5-9 Years & Water,0.7959879783135749,0.8046737468362134,Water,-0.6164007239156544,Thinness 5-9 Years,-0.4079210728968216,Hiv/Aids,0.291356854376228,48.39390174012615
Adult Mortality & Gdp & Water,0.7941395338501482,0.764436688378099,Adult Mortality,-0.030541383249343218,Water,0.00010892405014077713,Gdp,0.2528796768899189,52.960726107691414
Adult Mortality & Birth Per Woman & Thinness 1-19 Years,0.7934531380416905,0.7812358334547072,Adult Mortality,-0.029560140749229184,Birth Per Woman,-3.3114026715740743,Thinness 1-19 Years,-0.3189089894448834,85.52394932849649
Birth Per Woman & Hiv/Aids & Thinness 5-9 Years,0.7927321611432554,0.7832718924618873,Birth Per Woman,-3.630659730347771,Thinness 5-9 Years,-0.6478340222637436,Hiv/Aids,-0.40018958198485544,83.25237530595513
Hiv/Aids & Thinness 1-19 Years & Water,0.7918251667422707,0.7985750783526625,Water,-0.6310105675492887,Thinness 1-19 Years,-0.3989031012129679,Hiv/Aids,0.2918203678948454,48.353300634011106
Gdp & Hiv/Aids & Water,0.7912020291375292,0.7990145484369099,Water,0.0001501471453479364,Gdp,-0.6407763833287078,Hiv/Aids,0.29156476090471134,45.46749818939313
Birth Per Woman & Hiv/Aids & Water,0.7908121031688562,0.8095261793291328,Water,-2.1262066869704155,Birth Per Woman,-0.6295186065020997,Hiv/Aids,0.1802322469160249,61.98681834392146
Adult Mortality & Birth Per Woman & Bmi,0.7895938683955037,0.765326684649156,Adult Mortality,-0.031313947641528395,Birth Per Woman,-2.9780433401260935,Bmi,0.06460683090045426,80.97981279131463
Adult Mortality & Birth Per Woman & Status Developed,0.788428467303193,0.7447943111115103,Adult Mortality,-0.03209717489312865,Status Developed,-3.156354677200322,Birth Per Woman,2.1097138068299985,83.86932497548041
Birth Per Woman & Bmi & Hiv/Aids,0.7882394374419134,0.765082832058687,Birth Per Woman,-3.47746102444365,Hiv/Aids,0.08121319881558986,Bmi,-0.6557068139569291,77.87082556776092
Adult Mortality & Diphtheria & Water,0.7874971114619717,0.7211670155848688,Adult Mortality,-0.0316553802512102,Water,0.027590602444782474,Diphtheria,0.2638124744339044,50.5968796771115
Adult Mortality & Hiv/Aids & Water,0.7870137753545866,0.824812851892817,Adult Mortality,-0.019130999398737723,Water,-0.4327044242222374,Hiv/Aids,0.2712801717311695,50.899654322365656
