,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,y intercept
Adult Mortality & Birth Per Woman & Schooling,0.8290435669750118,0.7152460857391838,Adult Mortality,-0.03217641529499106,Birth Per Woman,-2.0605938625581817,Schooling,0.9310034747885143,69.50383730361999
Hiv/Aids & Schooling & Water,0.8116196890146803,0.8235445954907892,Schooling,-0.6638543896025868,Water,1.098585403233056,Hiv/Aids,0.19555150999236345,40.95438139743848
Birth Per Woman & Hiv/Aids & Schooling,0.8100276183178788,0.8295689652152952,Birth Per Woman,-2.4199731730818868,Schooling,-0.6726961114982712,Hiv/Aids,1.1186495802806344,64.211541219412
Hiv/Aids & Thinness 5-9 Years & Water,0.8047930095742651,0.7782054051450101,Thinness 5-9 Years,-0.6209923054032145,Water,-0.39686905733486544,Hiv/Aids,0.290867189457526,48.44655910156631
Adult Mortality & Schooling & Water,0.8045232325721163,0.7930432810482474,Adult Mortality,-0.029560713547941743,Water,0.8739943468517489,Schooling,0.1868600236036281,48.128633825069954
Birth Per Woman & Hiv/Aids & Water,0.8034899170558052,0.7685246497477822,Birth Per Woman,-2.226442046053261,Water,-0.6310986410142513,Hiv/Aids,0.18450119322857989,61.902514853806224
Adult Mortality & Hiv/Aids & Schooling,0.8032599852548196,0.7888263165441887,Adult Mortality,-0.022784933344438964,Schooling,-0.4758487602211162,Hiv/Aids,1.680033585879505,53.80885835994188
Adult Mortality & Birth Per Woman & Hiv/Aids,0.8024785266516616,0.8045014148787856,Adult Mortality,-0.020671315654852435,Birth Per Woman,-3.3761517745623326,Hiv/Aids,-0.43219393306483334,83.70654943667289
Birth Per Woman & Gdp & Hiv/Aids,0.8011330425302203,0.7979658476539042,Birth Per Woman,-3.677432114403009,Gdp,0.00015281764263436694,Hiv/Aids,-0.6462284959093829,80.5484353054513
Hiv/Aids & Thinness 1-19 Years & Water,0.7997991469490084,0.7735616663711237,Thinness 1-19 Years,-0.6108103960920382,Water,-0.4072334747876807,Hiv/Aids,0.2899898693546773,48.55878230858321
Adult Mortality & Thinness 1-19 Years & Water,0.7986552222507265,0.779200697814528,Adult Mortality,-0.0295607741010601,Water,-0.35890786651248696,Thinness 1-19 Years,0.24408454348597264,55.87534174306573
Hiv/Aids & Percentage Expenditure & Water,0.7979591706066834,0.7778138014264239,Hiv/Aids,-0.65112461599922,Water,0.0009748988834003257,Percentage Expenditure,0.2969957753434341,45.31308745195966
Gdp & Hiv/Aids & Water,0.7950056711732498,0.788265110810111,Gdp,0.00015149946566035338,Water,-0.6635805804998154,Hiv/Aids,0.28617241380847225,46.110314957049404
