,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,y intercept
Adult Mortality & Thinness 1-19 Years & Thinness 5-9 Years,0.590072710713518,0.704437086728479,Adult Mortality,-0.04235532503654326,Thinness 5-9 Years,-0.41114332683405963,Thinness 1-19 Years,-0.26551125525265173,79.96936665956702
Adult Mortality & Diphtheria & Thinness 5-9 Years,0.6230841233655315,0.6991528898308543,Adult Mortality,-0.04134952552054013,Thinness 5-9 Years,0.0762717092309256,Diphtheria,-0.5614616688314148,72.70272229793432
Adult Mortality & Hepatitis B & Under-Five Deaths,0.527019951838744,0.6984152401673096,Adult Mortality,-0.04812914706970122,Under-Five Deaths,0.033153807134126585,Hepatitis B,-0.00671675836042749,75.35971721843907
Adult Mortality & Bmi & Thinness 5-9 Years,0.6568974026420205,0.6821055686432996,Adult Mortality,-0.041190866793163396,Thinness 5-9 Years,0.11876345841909347,Bmi,-0.3702995107860421,73.8826004970829
Adult Mortality & Diphtheria & Thinness 1-19 Years,0.6377895318737896,0.66666554707247,Adult Mortality,-0.04266435821292952,Thinness 1-19 Years,0.07849199509457724,Diphtheria,-0.5138062788703859,72.61361603311305
Adult Mortality & Bmi & Under-Five Deaths,0.6443110320170661,0.6558378351299281,Adult Mortality,-0.04329977710328685,Under-Five Deaths,0.15528299165622111,Bmi,-0.003743186971328527,71.2681790567676
Adult Mortality & Bmi & Polio,0.6621435172014154,0.6554132833753222,Adult Mortality,-0.04045497501438768,Polio,0.15490255897260094,Bmi,0.06664431367794467,64.9715166959678
Adult Mortality & Measles & Thinness 5-9 Years,0.6033562198644835,0.654882695566324,Adult Mortality,-0.04552962606565552,Thinness 5-9 Years,-3.461824254237609e-05,Measles,-0.5708503917697331,80.15748268905627
Adult Mortality & Thinness 5-9 Years & Under-Five Deaths,0.602385190882156,0.6505048320867799,Adult Mortality,-0.04472358403114646,Thinness 5-9 Years,-0.5632365192289568,Under-Five Deaths,-0.0016616695604912968,80.05234527895712
Adult Mortality & Bmi & Thinness 1-19 Years,0.6695924679163773,0.6503705897686037,Adult Mortality,-0.042474295513725994,Thinness 1-19 Years,0.1169468249508463,Bmi,-0.32252626681416807,74.02943820589847
