,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,y intercept
Adult Mortality & Income Composition Of Resources & Water,0.805574743501515,0.8440377217894677,Adult Mortality,-0.026401949908482582,Water,19.54851646105972,Income Composition Of Resources,0.16090294161877594,47.878204928347614
Birth Per Woman & Hiv/Aids & Schooling,0.8065513606648557,0.8394818994499502,Birth Per Woman,-2.459023862772999,Schooling,-0.6816913214072251,Hiv/Aids,1.0870047636361457,64.66312837781823
Adult Mortality & Alcohol & Income Composition Of Resources,0.7718056620331823,0.8357653729682133,Adult Mortality,-0.031909474290558584,Income Composition Of Resources,0.03544139138629632,Alcohol,30.48242287586519,54.9701854451097
Hiv/Aids & Income Composition Of Resources & Military,0.759782649150725,0.8319756203091659,Income Composition Of Resources,-0.6449709163764713,Military,36.60661671982107,Hiv/Aids,0.3094264329117351,46.556254258986186
Hiv/Aids & Schooling & Water,0.8094754126921472,0.8305039809877335,Schooling,-0.6715762729750797,Water,1.1217435100410782,Hiv/Aids,0.18971858896728078,41.26380175011462
Adult Mortality & Income Composition Of Resources & Under-Five Deaths,0.7815923676499611,0.8289448194544012,Adult Mortality,-0.03147172701765085,Income Composition Of Resources,30.704044858798415,Under-Five Deaths,-0.0037581264293002903,55.1259332634197
Adult Mortality & Schooling & Water,0.7918477107317907,0.8287456036187374,Adult Mortality,-0.02926348519612683,Water,0.9122155833308514,Schooling,0.17415729249158407,48.68556264901514
Hiv/Aids & Income Composition Of Resources & Water,0.8143666637165458,0.8275437073487091,Income Composition Of Resources,-0.6217844115471158,Water,22.159446345496587,Hiv/Aids,0.17432725024061213,41.790643336704306
Adult Mortality & Percentage Expenditure & Water,0.7737410687688967,0.8216346163578715,Adult Mortality,-0.027559584414503867,Water,0.0006954199099545545,Percentage Expenditure,0.2718291643921621,51.067438036397526
Hiv/Aids & Income Composition Of Resources & Under-Five Deaths,0.7638021775104885,0.8189017897423797,Income Composition Of Resources,-0.6523472672390453,Hiv/Aids,35.21554005607816,Under-Five Deaths,-0.0034054261412208575,48.23493621321785
Adult Mortality & Birth Per Woman & Hepatitis B,0.7524937118740267,0.8180125472539476,Adult Mortality,-0.030563385053227806,Birth Per Woman,-3.417443843454852,Hepatitis B,0.016478219033468022,83.26256692787436
Bmi & Hiv/Aids & Income Composition Of Resources,0.7767617882121925,0.8160885339370135,Income Composition Of Resources,0.06584351904046509,Hiv/Aids,-0.6519141308257921,Bmi,31.49128334598985,47.84765819807669
Adult Mortality & Birth Per Woman & Military,0.7550143640919302,0.8137414352477719,Adult Mortality,-0.03136078988024835,Military,-3.539462822565465,Birth Per Woman,0.06382048628394071,84.97170966860062
Birth Per Woman & Hiv/Aids & Thinness 1-19 Years,0.7822871339586683,0.8099618966409955,Birth Per Woman,-3.604022095828266,Thinness 1-19 Years,-0.6539203288924018,Hiv/Aids,-0.38460266446317476,83.27223145336168
Gdp & Hiv/Aids & Water,0.7888929507961466,0.8048925535344933,Gdp,0.00015203312132797557,Water,-0.6696406014462417,Hiv/Aids,0.2850073565698269,46.22384475723891
Hiv/Aids & Total Expenditure & Water,0.7615877739398715,0.8045359457542709,Hiv/Aids,-0.6815839402309952,Water,0.45773227118777804,Total Expenditure,0.31228135609027735,42.009797334848145
Birth Per Woman & Hiv/Aids & Income Composition Of Resources,0.8332484479409004,0.8044985413939668,Birth Per Woman,-2.364779309813794,Income Composition Of Resources,-0.5877767730076136,Hiv/Aids,20.387964548637097,64.36066473296066
Adult Mortality & Gdp & Income Composition Of Resources,0.7869141505687016,0.8040182226408394,Adult Mortality,-0.03203706905998398,Income Composition Of Resources,5.4232340298030184e-05,Gdp,29.044855624660087,55.84658336143704
Adult Mortality & Total Expenditure & Water,0.7600351399233911,0.8006335657712776,Adult Mortality,-0.028144493308616434,Water,0.3080790949019363,Total Expenditure,0.28263955452697725,48.83199814903024
