,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,y intercept
Birth Per Woman & Income Composition Of Resources & Schooling,0.7024358738493559,0.771991951250191,Birth Per Woman,-2.519066631913345,Schooling,21.883092874346584,Income Composition Of Resources,0.3492914471411446,58.35354763034492
Income Composition Of Resources & Percentage Expenditure & Status Developed,0.6152430349202105,0.7630494168847324,Percentage Expenditure,40.08834021449959,Status Developed,0.00037739247742072735,Income Composition Of Resources,0.8646651214344736,43.1158187410427
Alcohol & Birth Per Woman & Income Composition Of Resources,0.7134111662388836,0.7523152822450183,Alcohol,-0.174067261307238,Birth Per Woman,-2.9574025703003937,Income Composition Of Resources,25.606172525913767,62.33604086691673
Birth Per Woman & Fdi & Income Composition Of Resources,0.7131346460432597,0.7388388071996628,Birth Per Woman,-2.6493045851927466,Fdi,0.009974945486576514,Income Composition Of Resources,25.640799352275632,60.559581096672204
Fdi & Income Composition Of Resources & Water,0.7063008038722668,0.7366127045809212,Water,0.011321188483606536,Fdi,27.20036566177492,Income Composition Of Resources,0.20086513755544289,34.93319056181292
Income Composition Of Resources & Military & Population,0.623653770446603,0.7363982614531692,Income Composition Of Resources,43.230838540416634,Military,0.37520958803339377,Population,-4.327461167186186e-10,40.9074085690568
Income Composition Of Resources & Schooling & Water,0.7065715519271547,0.7353588473149428,Water,18.73943994531157,Schooling,0.4562390006589902,Income Composition Of Resources,0.21025364021091275,34.28228937041239
Alcohol & Income Composition Of Resources & Military,0.6259864270729052,0.7319660239689842,Alcohol,-0.06395623488022757,Military,43.82685666613724,Income Composition Of Resources,0.3762600758829109,40.85841862409698
Birth Per Woman & Income Composition Of Resources & Percentage Expenditure,0.7252682879703705,0.7310610055422716,Percentage Expenditure,-2.802190074154935,Birth Per Woman,22.06411999055256,Income Composition Of Resources,0.0005861465357455131,62.926506659505165
Income Composition Of Resources & Military & Water,0.7039719756050777,0.7301921936820357,Water,23.901582432808766,Military,0.13869459653707722,Income Composition Of Resources,0.2215554764262701,35.09308246959269
Birth Per Woman & Income Composition Of Resources & Water,0.7322890229367012,0.7264896971768067,Water,-1.9159990929791075,Birth Per Woman,22.713422630554952,Income Composition Of Resources,0.10406797750609087,51.51206697059886
Birth Per Woman & Income Composition Of Resources & Military,0.7185019099206852,0.7263906248358641,Birth Per Woman,-2.783404647068407,Military,25.206212337123503,Income Composition Of Resources,0.3229028017418685,60.70435539145534
Gdp & Total Expenditure & Water,0.648801973087496,0.7256807964773209,Water,0.0001396978015155634,Gdp,0.2581115408835691,Total Expenditure,0.3527093893921123,37.76064814562494
Gdp & Income Composition Of Resources & Water,0.7165691597898212,0.7250326701423266,Water,6.467154597670722e-05,Income Composition Of Resources,24.70142089380989,Gdp,0.1959854423628542,36.59188020738243
Birth Per Woman & Percentage Expenditure & Water,0.7012498809620475,0.7184822643047002,Percentage Expenditure,-2.18550109590021,Water,0.0008288850480122354,Birth Per Woman,0.22064761600935706,56.858991204563296
Birth Per Woman & Gdp & Income Composition Of Resources,0.7294150770427332,0.7180857684559638,Birth Per Woman,-2.564365756412628,Income Composition Of Resources,6.746181556089074e-05,Gdp,24.13041366721561,60.83731841740279
Gdp & Status Developed & Water,0.6585760753287051,0.7161163823927504,Water,0.00010712570222365709,Status Developed,2.8992174404582887,Gdp,0.3499214547954277,39.33814173701364
Birth Per Woman & Income Composition Of Resources & Status Developed,0.7209492516882381,0.715123696192363,Birth Per Woman,-2.489327676532233,Status Developed,26.3569594959421,Income Composition Of Resources,0.9577891879512137,59.463887011728616
Alcohol & Birth Per Woman & Gdp,0.6520642209028091,0.7106350270215966,Alcohol,-0.06667131497402072,Birth Per Woman,-4.554071408303149,Gdp,0.00015980839568019434,82.06161083274971
Income Composition Of Resources & Status Developed & Water,0.718695157402447,0.7072021565378861,Water,25.904202284500006,Status Developed,1.583452369960179,Income Composition Of Resources,0.1896016317064979,36.60319342778914
Birth Per Woman & Percentage Expenditure & Status Developed,0.6491311837265095,0.7052964933179153,Percentage Expenditure,-4.221641417144907,Status Developed,0.0008394069082157277,Birth Per Woman,1.9842568601891957,80.87368686536061
Income Composition Of Resources & Total Expenditure & Water,0.718942658559085,0.7022956696514541,Water,27.02084730696472,Income Composition Of Resources,0.24036092684702295,Total Expenditure,0.20053248726273223,33.75212399688658
Gdp & Income Composition Of Resources & Military,0.6352361281934862,0.7021416111414742,Income Composition Of Resources,7.311855443374325e-05,Military,40.73679502882173,Gdp,0.29511526337639893,42.34072747059054
Birth Per Woman & Fdi & Percentage Expenditure,0.6466909373773339,0.7013913843563102,Percentage Expenditure,-4.425830883126231,Birth Per Woman,0.016789909225812062,Fdi,0.0008813050341181482,81.63073027073074
Schooling & Total Expenditure & Water,0.6726467801361548,0.6982897458842194,Water,1.03196935509319,Schooling,0.12599277712748536,Total Expenditure,0.2619824389704903,34.30179535158481
Birth Per Woman & Population & Schooling,0.6626337483761071,0.6979100433622513,Birth Per Woman,-3.431769659734954,Schooling,-1.3438829818763944e-09,Population,0.9767370837255923,67.56406564012464
Birth Per Woman & Gdp & Water,0.7086330523575073,0.6975060306332883,Water,-2.4015192084393155,Birth Per Woman,0.00014972987201182422,Gdp,0.1938775080237441,59.539881438459986
Alcohol & Income Composition Of Resources & Schooling,0.6585674958438086,0.6951196363304615,Alcohol,-0.23274923455259652,Schooling,32.82334975235076,Income Composition Of Resources,0.9502319059793862,37.67372308975046
Gdp & Income Composition Of Resources & Population,0.6409015103992212,0.6949895921776217,Income Composition Of Resources,5.6853677420993276e-05,Population,42.20817484613466,Gdp,8.203215884350357e-10,41.798598059328995
Gdp & Schooling & Water,0.6910959697748973,0.6946965666840061,Water,9.799089513039699e-05,Schooling,0.8109679710311304,Gdp,0.27938811442270495,35.54675648348209
Income Composition Of Resources & Military & Status Developed,0.6424046124475619,0.6945236888512764,Income Composition Of Resources,43.43674089582704,Status Developed,0.37865334789191124,Military,1.3324862076673512,40.422781261135306
Income Composition Of Resources & Percentage Expenditure & Water,0.7279655732817376,0.6939432866876627,Percentage Expenditure,22.388357170705504,Water,0.0005025278754940575,Income Composition Of Resources,0.22296805018260493,35.95555130139015
Alcohol & Birth Per Woman & Water,0.6723359091379674,0.6912786327978627,Alcohol,0.06391072640986988,Water,-2.5505553735357775,Birth Per Woman,0.21294085726947465,58.807477001977745
Income Composition Of Resources & Population & Schooling,0.6537858021414249,0.6912059243447829,Schooling,33.45399461414309,Income Composition Of Resources,1.505434260439257e-09,Population,0.7835078432271984,38.201699552715034
Population & Status Developed & Water,0.6477481248954169,0.6896474024201638,Water,-3.8328353256269445e-09,Status Developed,3.9610983291924855,Population,0.3649370275463304,38.546698282447935
Birth Per Woman & Fdi & Gdp,0.6555988899209211,0.6893794102783664,Birth Per Woman,-4.34481886593864,Fdi,0.008112558463889087,Gdp,0.00017231187786726984,81.08871262714716
Birth Per Woman & Percentage Expenditure & Total Expenditure,0.656664342086522,0.6870833759645492,Percentage Expenditure,-4.428294688464298,Birth Per Woman,0.0008743594878427976,Total Expenditure,0.28218494004973255,80.18239384833984
Birth Per Woman & Gdp & Total Expenditure,0.6621392111088489,0.687057693992916,Birth Per Woman,-4.4221871413696805,Gdp,0.00013944043751788656,Total Expenditure,0.3005534513753314,79.66305789592225
Birth Per Woman & Military & Percentage Expenditure,0.6538481312915401,0.687011947963315,Percentage Expenditure,-4.499267139497459,Military,0.20102221704917111,Birth Per Woman,0.0010012779146363893,81.53997862709171
Alcohol & Birth Per Woman & Status Developed,0.622189119854177,0.6858852625522615,Alcohol,-0.12815090628704065,Status Developed,-4.470475445464804,Birth Per Woman,4.117175812590174,82.60010731521709
Income Composition Of Resources & Schooling & Status Developed,0.6551138712217492,0.684292116749552,Schooling,36.07090418913967,Status Developed,0.5430173920891734,Income Composition Of Resources,0.9012633805683257,39.21692531171995
Birth Per Woman & Status Developed & Water,0.6945604657873128,0.6834725232346839,Water,-2.166403981175213,Status Developed,3.53490369787732,Birth Per Woman,0.21466485008485536,57.37857046542167
Birth Per Woman & Income Composition Of Resources & Total Expenditure,0.7341477850362647,0.6834065140539931,Birth Per Woman,-2.353364599647051,Income Composition Of Resources,29.378731760788806,Total Expenditure,0.24309262871150494,55.7979296226807
Birth Per Woman & Schooling & Status Developed,0.672303751812305,0.68307071570972,Birth Per Woman,-3.235753820401575,Status Developed,0.9897348436166928,Schooling,1.722676345180804,66.46125696201298
Birth Per Woman & Schooling & Water,0.7070958220101067,0.6823349395138578,Water,-1.8020140815211467,Birth Per Woman,0.802447569254732,Schooling,0.1742413801937872,50.47319537304366
Percentage Expenditure & Population & Water,0.6587510122584211,0.6818975630703245,Percentage Expenditure,0.0009108300534085011,Water,-3.955288618695202e-09,Population,0.36585974085129797,38.42088380102731
Schooling & Status Developed & Water,0.6883800263266404,0.6816945460570194,Water,0.8413199812522019,Status Developed,2.3719826656589955,Schooling,0.27175008584449545,36.21114572584465
Fdi & Schooling & Water,0.680579620748822,0.6815687723369113,Water,0.01871875493100897,Fdi,0.9968401110874152,Schooling,0.2717992004154358,34.4778284208233
Income Composition Of Resources & Population & Status Developed,0.6428957905825683,0.6799225496486394,Income Composition Of Resources,42.487140111461514,Status Developed,3.0786562172600005e-10,Population,1.4405108566064482,41.739775333833855
Fdi & Income Composition Of Resources & Population,0.6408661998130833,0.6792004751785142,Fdi,0.010677853778441649,Income Composition Of Resources,43.9477462939405,Population,3.07778691421845e-10,41.059421800897866
Income Composition Of Resources & Percentage Expenditure & Population,0.6453144447651125,0.6789320415734261,Percentage Expenditure,43.144950971472795,Income Composition Of Resources,0.0003505087642172957,Population,1.1851125902026874e-10,41.19584674788092
Birth Per Woman & Income Composition Of Resources & Population,0.7302001462041712,0.678893346577028,Birth Per Woman,-2.3010345766588958,Income Composition Of Resources,30.18803879140099,Population,-1.2784973080215423e-09,56.56629161560079
Fdi & Gdp & Water,0.6623059075531434,0.6784742618394572,Water,0.013143634185640504,Fdi,0.0001498405874234758,Gdp,0.3510196135013956,39.308223942712345
Birth Per Woman & Fdi & Water,0.6782185043963158,0.6747930369294143,Water,-2.4641862626579476,Birth Per Woman,0.016621082391436393,Fdi,0.21317567230576584,58.66292285910748
Gdp & Military & Water,0.6627854211734717,0.6741394697757095,Water,0.00014346344401062816,Military,-0.09561441643717095,Gdp,0.35493065652448663,39.28995279618709
Birth Per Woman & Fdi & Total Expenditure,0.6200780434799378,0.6734640416197634,Birth Per Woman,-4.765207212062018,Fdi,0.01177899224685739,Total Expenditure,0.3850270911962299,80.96466588882248
Fdi & Total Expenditure & Water,0.6296659024077988,0.6730778573660093,Water,0.01543961231966487,Fdi,0.3184891248718305,Total Expenditure,0.3835828856603978,35.48245591418286
Birth Per Woman & Fdi & Population,0.608255064009975,0.6728120288322724,Birth Per Woman,-4.76868783897131,Fdi,0.013226798618944328,Population,-3.5662001615643923e-09,83.44083689009413
