,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,y intercept
Hiv/Aids & Schooling & Water,0.8196742989235851,0.801887442619869,Schooling,-0.6760264442008925,Water,1.108933498803901,Hiv/Aids,0.19430933502198985,41.03402404592696
Birth Per Woman & Hiv/Aids & Schooling,0.8179609449163286,0.8052918981643711,Birth Per Woman,-2.32178547819216,Schooling,-0.66797540559826,Hiv/Aids,1.1627346187545773,63.349942381746516
Adult Mortality & Birth Per Woman & Hiv/Aids,0.8115678915150991,0.7710515036426788,Adult Mortality,-0.02404818593566799,Birth Per Woman,-3.3349446310022546,Hiv/Aids,-0.342781105753442,84.17460112998369
Hiv/Aids & Percentage Expenditure & Water,0.8037073630129539,0.7601698517689218,Hiv/Aids,-0.6830734057205297,Water,0.000868976932443123,Percentage Expenditure,0.3012722698468365,45.06970109031808
Adult Mortality & Thinness 5-9 Years & Water,0.8024861852105375,0.7750903224562957,Adult Mortality,-0.028614910467536944,Water,-0.3917401096692905,Thinness 5-9 Years,0.26150538656092637,54.40892457546169
Gdp & Hiv/Aids & Water,0.8022080760004847,0.7653515845248859,Gdp,0.00014384268095395092,Water,-0.6811025848724975,Hiv/Aids,0.2895775222286887,45.829664798389246
Birth Per Woman & Hiv/Aids & Water,0.8020596748457351,0.7726098558422406,Birth Per Woman,-2.2102200422103446,Water,-0.6426847362076399,Hiv/Aids,0.1734977005141056,62.82356078782343
Adult Mortality & Hiv/Aids & Water,0.7995787667806871,0.7963668270916272,Adult Mortality,-0.01982337881077988,Water,-0.41185826569208034,Hiv/Aids,0.2786798806655098,50.41189172353029
Birth Per Woman & Hiv/Aids & Percentage Expenditure,0.7987564713259284,0.7948765925901446,Birth Per Woman,-3.7061112845190114,Hiv/Aids,-0.6633657072848711,Percentage Expenditure,0.0009325276025815698,80.85316258973116
Adult Mortality & Birth Per Woman & Thinness 1-19 Years,0.7974390035345166,0.7690019167783761,Adult Mortality,-0.03164909018136522,Birth Per Woman,-3.0529665094242486,Thinness 1-19 Years,-0.3252340938090185,85.38979112582115
Adult Mortality & Birth Per Woman & Thinness 5-9 Years,0.7972474441690689,0.775340123892501,Adult Mortality,-0.029885146403175765,Birth Per Woman,-3.1431863499771713,Thinness 5-9 Years,-0.31795159319876054,85.23944430377611
Adult Mortality & Hiv/Aids & Schooling,0.7965610101428353,0.8076605710832605,Adult Mortality,-0.02086671669621577,Schooling,-0.5466310514020917,Hiv/Aids,1.7253636756992476,52.890295830144524
Hiv/Aids & Thinness 5-9 Years & Water,0.7949623450096103,0.8081465920779556,Thinness 5-9 Years,-0.6304607397538513,Water,-0.41546958896551406,Hiv/Aids,0.28717918569776074,48.86290485569179
Adult Mortality & Birth Per Woman & Schooling,0.7942291889925606,0.8230499682993468,Adult Mortality,-0.028587851707868817,Birth Per Woman,-2.3680649869751265,Schooling,0.8505047901186582,70.84765940559832
Hiv/Aids & Thinness 1-19 Years & Water,0.7939413276445134,0.7926180235976059,Thinness 1-19 Years,-0.6364663812514453,Water,-0.41576519083547375,Hiv/Aids,0.2847384191075388,48.96535927329755
Birth Per Woman & Hiv/Aids & Thinness 5-9 Years,0.7930838793573709,0.7832564216172268,Birth Per Woman,-3.6479893511582526,Thinness 5-9 Years,-0.6384376289654117,Hiv/Aids,-0.3764656794416346,83.17476166459512
Adult Mortality & Thinness 1-19 Years & Water,0.7907706778616281,0.799264194953584,Adult Mortality,-0.027788126062666875,Water,-0.37336425870609774,Thinness 1-19 Years,0.26105463062276374,54.215743983963876
Adult Mortality & Schooling & Water,0.7893633197455777,0.8400040706959553,Adult Mortality,-0.028880098366890164,Water,0.9137926564433085,Schooling,0.18368110793335038,47.81304373522333
Bmi & Hiv/Aids & Water,0.7892883334386002,0.7419128864749936,Hiv/Aids,0.07894260628274682,Water,-0.6270506684270991,Bmi,0.2845828417947044,43.998705962104694
Adult Mortality & Birth Per Woman & Water,0.7883896636732296,0.8097194693606257,Adult Mortality,-0.028038981729135062,Water,-1.9467427847791232,Birth Per Woman,0.16266389309595217,66.32342598002295
Adult Mortality & Birth Per Woman & Percentage Expenditure,0.7871166652872792,0.8041055827079899,Adult Mortality,-0.028476464793413727,Birth Per Woman,-3.474834888111241,Percentage Expenditure,0.0007229375946291686,83.8852895960684
Adult Mortality & Alcohol & Water,0.7866360843511375,0.7324178976233217,Adult Mortality,-0.031436455838776266,Water,0.2238414629674369,Alcohol,0.25496479288101076,52.377572376439026
Adult Mortality & Birth Per Woman & Measles,0.7864090610700113,0.7322514315571346,Adult Mortality,-0.03308146286555881,Birth Per Woman,-3.340115539643476,Measles,-5.7895917076882825e-05,85.03969566243526
Birth Per Woman & Hiv/Aids & Thinness 1-19 Years,0.7861826531882553,0.8005689749260552,Birth Per Woman,-3.640705481670473,Thinness 1-19 Years,-0.6481912111463709,Hiv/Aids,-0.37574417898915974,83.16943987833136
Adult Mortality & Polio & Water,0.7859752144350988,0.7086612164401449,Adult Mortality,-0.03164856283195092,Water,0.024707900533935973,Polio,0.2632038369671573,50.91933245682226
Birth Per Woman & Gdp & Hiv/Aids,0.7856661256447637,0.8361798181664011,Birth Per Woman,-3.67511786703823,Gdp,0.00014622762332302643,Hiv/Aids,-0.678320072968431,80.48718968447044
Adult Mortality & Birth Per Woman & Bmi,0.7850192156035046,0.7750738953511428,Adult Mortality,-0.03093882040531685,Birth Per Woman,-2.8921424877096307,Bmi,0.06908523717214626,80.46558993127037
Adult Mortality & Percentage Expenditure & Water,0.7823734872361296,0.7976840335725902,Adult Mortality,-0.02938891781751979,Water,0.0007636108175400665,Percentage Expenditure,0.2548032841019756,52.80357168141353
Adult Mortality & Total Expenditure & Water,0.7818118582018454,0.7393315857188598,Adult Mortality,-0.030400784462237297,Water,0.26581838726549434,Total Expenditure,0.2765174418644594,49.98725566627354
Hiv/Aids & Total Expenditure & Water,0.7817094537713746,0.7459404289190722,Hiv/Aids,-0.6622492311069291,Water,0.5243065562644295,Total Expenditure,0.31791664723374025,41.06380817104502
Adult Mortality & Bmi & Water,0.7791056503559758,0.7832897504457951,Adult Mortality,-0.0294115431287803,Water,0.06370401266073722,Bmi,0.24935207725561673,51.36050773473586
Alcohol & Hiv/Aids & Water,0.7775031630509435,0.7493929565491442,Hiv/Aids,0.2459116891081668,Water,-0.6804305232609881,Alcohol,0.29156492303492443,45.41214496130148
