,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,Other Variable3,Coefficent4,y intercept
Gdp & Hiv/Aids & Income Composition Of Resources & Status Developed,0.764086702467129,0.8388191076437534,Income Composition Of Resources,8.186968746815488e-05,Gdp,-0.6495747231858511,Status Developed,32.38280597522422,Hiv/Aids,0.7483521256170089,49.22916452834543
Hiv/Aids & Status Developed & Thinness 1-19 Years & Water,0.8007532667616084,0.8309888676410264,Thinness 1-19 Years,-0.6188798519421228,Water,3.1638474748849132,Status Developed,-0.35894421928444425,Hiv/Aids,0.26883653890742254,49.53058305817049
Adult Mortality & Income Composition Of Resources & Status Developed & Thinness 5-9 Years,0.7871998383708981,0.8278593500689504,Adult Mortality,-0.02936204117998558,Income Composition Of Resources,29.060752844274045,Status Developed,0.5315567098623086,Thinness 5-9 Years,-0.20760618429412858,56.47190241191916
Hiv/Aids & Status Developed & Thinness 5-9 Years & Water,0.8049585862822268,0.8262465427975684,Thinness 5-9 Years,-0.6094533172167235,Water,3.2109271767256717,Status Developed,-0.3771402135751874,Hiv/Aids,0.27164033335695326,49.49990302197301
Birth Per Woman & Hiv/Aids & Status Developed & Thinness 5-9 Years,0.7900731694542072,0.8251821130230845,Birth Per Woman,-3.3827233742188123,Thinness 5-9 Years,-0.6428425636519384,Status Developed,2.3486362646685075,Hiv/Aids,-0.33884579546926863,81.862129053144
Adult Mortality & Income Composition Of Resources & Schooling & Status Developed,0.7898938542319173,0.8245732684644611,Adult Mortality,-0.03082039346862511,Schooling,22.80385927318483,Status Developed,0.6378213532862738,Income Composition Of Resources,0.3649176731745185,52.064920937494065
Hiv/Aids & Status Developed & Total Expenditure & Water,0.7812388956056141,0.8242972519836671,Hiv/Aids,-0.6515947348578065,Water,3.8534351046089927,Status Developed,0.3667273547742636,Total Expenditure,0.28890823700742585,43.82879238175582
Adult Mortality & Birth Per Woman & Income Composition Of Resources & Status Developed,0.8243252154332238,0.8242133086021547,Adult Mortality,-0.027487617417496817,Birth Per Woman,-1.7828537563435782,Status Developed,20.7121071261455,Income Composition Of Resources,0.4225421907227883,65.88252545766002
Adult Mortality & Birth Per Woman & Hiv/Aids & Status Developed,0.808837824071536,0.8228253993410342,Adult Mortality,-0.01905550618118818,Birth Per Woman,-3.1840174289690593,Status Developed,-0.46627978896613564,Hiv/Aids,2.484637624836685,82.49356922503675
Adult Mortality & Birth Per Woman & Gdp & Status Developed,0.7853839266603694,0.8203016748687679,Adult Mortality,-0.028382422402698643,Birth Per Woman,-3.2791865956289192,Status Developed,0.00011172818883631308,Gdp,0.6290771399626047,83.10533790250055
