,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,Other Variable3,Coefficent4,y intercept
Adult Mortality & Birth Per Woman & Hiv/Aids & Schooling,0.8468562991271439,0.8373363781446355,Adult Mortality,-0.017507969481607395,Birth Per Woman,-2.081214367362181,Schooling,-0.4703081518611243,Hiv/Aids,0.9810925844305365,67.44901641025416
Adult Mortality & Hiv/Aids & Schooling & Water,0.8424559506618001,0.8421461181947176,Adult Mortality,-0.01689684538893515,Water,-0.4784457528043975,Schooling,1.0318451856354238,Hiv/Aids,0.1673736421083165,46.666781988879414
Birth Per Woman & Hiv/Aids & Schooling & Water,0.8347140380294042,0.8078285511376384,Schooling,-1.42380865277426,Water,-0.6694063682633717,Birth Per Woman,0.9438612015483355,Hiv/Aids,0.11197924385531999,54.15072962636362
Hiv/Aids & Schooling & Thinness 5-9 Years & Water,0.8320459333450818,0.816809223765558,Schooling,-0.6407734928556578,Water,0.918202832784487,Thinness 5-9 Years,-0.2547804918206404,Hiv/Aids,0.194199049372619,44.51699907735454
Adult Mortality & Hiv/Aids & Thinness 5-9 Years & Water,0.8308436724427799,0.8216627122065298,Adult Mortality,-0.018171316373907138,Water,-0.401314628411247,Thinness 5-9 Years,-0.3463654412888114,Hiv/Aids,0.2582049652377205,53.43588305341585
Gdp & Hiv/Aids & Thinness 5-9 Years & Water,0.8306820167139799,0.7847744207910935,Thinness 5-9 Years,0.00011744384483637633,Water,-0.6070387161645414,Gdp,-0.3481011876480552,Hiv/Aids,0.27252902333763684,49.06149047917502
Birth Per Woman & Hiv/Aids & Schooling & Thinness 1-19 Years,0.829420822437782,0.8061984242706245,Schooling,-2.412776758076068,Birth Per Woman,-0.6734618284023732,Thinness 1-19 Years,0.9128266469306315,Hiv/Aids,-0.22389669310290927,67.79684501037246
Gdp & Hiv/Aids & Schooling & Water,0.8285942593872377,0.8193937215524187,Schooling,8.634441181573345e-05,Water,-0.66079191995089,Gdp,0.9769123079696116,Hiv/Aids,0.1915521958240748,42.397093978110675
Adult Mortality & Birth Per Woman & Hiv/Aids & Thinness 1-19 Years,0.8278006833197629,0.8154284113864515,Adult Mortality,-0.01962269583145671,Birth Per Woman,-3.0866141798958324,Thinness 1-19 Years,-0.3846437288291118,Hiv/Aids,-0.31616724173306654,84.10366221657853
Adult Mortality & Birth Per Woman & Hiv/Aids & Thinness 5-9 Years,0.8273613781372829,0.8170575523869034,Adult Mortality,-0.018587243403069994,Birth Per Woman,-3.12173202322343,Thinness 5-9 Years,-0.42012648992675405,Hiv/Aids,-0.3384709393682992,84.23237637060141
Birth Per Woman & Gdp & Hiv/Aids & Schooling,0.8262355935695653,0.8367633506072856,Schooling,-2.365832366689895,Birth Per Woman,0.00010273171228517323,Gdp,-0.674151832380134,Hiv/Aids,0.9083855149559514,66.04823744854231
Birth Per Woman & Hiv/Aids & Percentage Expenditure & Schooling,0.8260401926400455,0.8398734979948668,Schooling,-2.5694149539390674,Birth Per Woman,-0.6805845421451817,Hiv/Aids,0.0006067786265384623,Percentage Expenditure,0.8974555014354959,66.83527578792314
Birth Per Woman & Hiv/Aids & Infant Deaths & Schooling,0.8256150050812406,0.7838589020848169,Infant Deaths,-2.553113950493486,Birth Per Woman,-0.6713079121835116,Schooling,-0.0024653581720112117,Hiv/Aids,1.0663161711752613,65.3517467532043
Birth Per Woman & Gdp & Hiv/Aids & Water,0.825559107163873,0.8250167846796576,Gdp,-2.1415962784798572,Water,0.00013252852993630797,Birth Per Woman,-0.6226185742195707,Hiv/Aids,0.15015115462661063,63.6459565715696
Adult Mortality & Hiv/Aids & Thinness 1-19 Years & Water,0.824451340399888,0.8293898227506965,Adult Mortality,-0.018228678346413518,Water,-0.39044500101339946,Thinness 1-19 Years,-0.3442660207526324,Hiv/Aids,0.25287197540676265,53.937143110594256
Birth Per Woman & Gdp & Hiv/Aids & Total Expenditure,0.8241104814677874,0.767233026790754,Gdp,-3.6039837450793426,Birth Per Woman,0.00013945220747365933,Hiv/Aids,-0.6779523109175878,Total Expenditure,0.47898996293371365,77.59731644518858
