,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,Other Variable3,Coefficent4,y intercept
Adult Mortality & Birth Per Woman & Hiv/Aids & Schooling,0.8454095644337817,0.8412524004159395,Adult Mortality,-0.018285874068733273,Birth Per Woman,-2.0203922464070274,Schooling,-0.45076464632372115,Hiv/Aids,1.0003214476819595,67.1374304070264
Adult Mortality & Hiv/Aids & Schooling & Water,0.8430088477834347,0.8420068164546454,Adult Mortality,-0.01768591694405695,Water,-0.4559155974555654,Schooling,0.9876552788662404,Hiv/Aids,0.16990899702991102,47.1243887370175
Adult Mortality & Birth Per Woman & Gdp & Hiv/Aids,0.8367938092952113,0.815584616230416,Adult Mortality,-0.018715888028331244,Birth Per Woman,-3.1425163851454263,Gdp,0.00013215702989066713,Hiv/Aids,-0.41532724166099005,81.96754098260311
Adult Mortality & Hiv/Aids & Thinness 1-19 Years & Water,0.8330558666569872,0.7990007165852773,Adult Mortality,-0.018602372876404996,Water,-0.38901915158102196,Thinness 1-19 Years,-0.33584750222062454,Hiv/Aids,0.2521612755368197,53.95497221043789
Adult Mortality & Hiv/Aids & Percentage Expenditure & Water,0.8315728817049031,0.796109543358392,Adult Mortality,-0.01830481841463331,Water,-0.4275084028638034,Hiv/Aids,0.0007478491561387357,Percentage Expenditure,0.25713700537739276,51.43297758007065
Adult Mortality & Birth Per Woman & Hiv/Aids & Water,0.8305687063647479,0.814063884831618,Adult Mortality,-0.018318003341203946,Water,-2.0179139512662263,Birth Per Woman,-0.415249744449943,Hiv/Aids,0.15304676020997943,66.50958831393909
Birth Per Woman & Gdp & Hiv/Aids & Thinness 5-9 Years,0.8300238010715267,0.7779969807122935,Thinness 5-9 Years,-3.371098359617201,Birth Per Woman,0.00012503365984219768,Gdp,-0.6492183365683482,Hiv/Aids,-0.30466145552646856,81.43507426911201
Birth Per Woman & Hiv/Aids & Schooling & Thinness 5-9 Years,0.8299872606376677,0.8060430765704736,Schooling,-2.420878697350227,Birth Per Woman,-0.6585207840194052,Thinness 5-9 Years,0.9590609792502587,Hiv/Aids,-0.22266854717121065,67.06997257008491
Adult Mortality & Birth Per Woman & Hiv/Aids & Percentage Expenditure,0.8289612448248038,0.8313927664578058,Adult Mortality,-0.01907151705004026,Birth Per Woman,-3.2209650217826447,Hiv/Aids,-0.4332469678353194,Percentage Expenditure,0.0007475810186949872,82.39330120272783
Birth Per Woman & Gdp & Hiv/Aids & Schooling,0.8284448615673243,0.831051794156234,Schooling,-2.5489839196725645,Birth Per Woman,0.00011125713924057092,Gdp,-0.6741254801320663,Hiv/Aids,0.870210798493695,66.93460758400242
