,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,Other Variable3,Coefficent4,y intercept
Adult Mortality & Bmi & Hiv/Aids & Thinness 1-19 Years,0.7077436316943652,0.6802725247469774,Adult Mortality,-0.029706661647379493,Thinness 1-19 Years,0.11847130099850278,Hiv/Aids,-0.412966682939005,Bmi,-0.3846732930763283,72.84085993628496
Adult Mortality & Bmi & Polio & Thinness 1-19 Years,0.6947836203937731,0.6449176751729141,Adult Mortality,-0.03843943140368888,Thinness 1-19 Years,0.12309840686203,Polio,0.056729763613096784,Bmi,-0.3104049223103569,68.09779647202636
Adult Mortality & Bmi & Diphtheria & Hiv/Aids,0.693491296397386,0.722907033527556,Adult Mortality,-0.02724665113862493,Hiv/Aids,0.14752173236943078,Diphtheria,0.07717144652623538,Bmi,-0.46345690171151266,63.07609194414129
Adult Mortality & Bmi & Hiv/Aids & Thinness 5-9 Years,0.6921510032639286,0.7148478239292013,Adult Mortality,-0.02745414967932757,Hiv/Aids,0.12547914992277587,Thinness 5-9 Years,-0.45015786751638565,Bmi,-0.3795531142830339,72.1332900180392
Adult Mortality & Bmi & Hiv/Aids & Polio,0.6917373403221762,0.7028985394158287,Adult Mortality,-0.028209814094209928,Hiv/Aids,0.15132270354075136,Polio,-0.49970641577798897,Bmi,0.06576089204366646,64.03674751912267
Adult Mortality & Bmi & Diphtheria & Measles,0.69113417166549,0.5894961196981775,Adult Mortality,-0.04094927139604166,Diphtheria,0.14501465802017027,Bmi,0.08763355091804834,Measles,-1.649274212077557e-05,63.59583420846004
Adult Mortality & Bmi & Measles & Thinness 1-19 Years,0.6859325905387781,0.609125501751629,Adult Mortality,-0.04177348044949087,Thinness 1-19 Years,0.1102676821955234,Bmi,-1.7478261828441226e-05,Measles,-0.37970833569261436,74.53157598493081
Adult Mortality & Bmi & Hepatitis B & Polio,0.6855432932565206,0.587791700958692,Adult Mortality,-0.04334833111214732,Hepatitis B,0.12734299664252197,Polio,0.011661353069043015,Bmi,0.058948005949080666,66.46795494946235
Adult Mortality & Bmi & Hiv/Aids & Under-Five Deaths,0.684684727683228,0.6785971905670872,Adult Mortality,-0.032020198706595775,Hiv/Aids,0.14695878969658452,Under-Five Deaths,-0.4125858418528035,Bmi,-0.00540836632133658,70.57228892884093
Adult Mortality & Bmi & Hepatitis B & Thinness 1-19 Years,0.6831128242868011,0.620503121827181,Adult Mortality,-0.04179726626514426,Hepatitis B,0.10845535055472809,Thinness 1-19 Years,0.02232966781513217,Bmi,-0.38224717531141744,72.74759538265398
Adult Mortality & Bmi & Diphtheria & Thinness 1-19 Years,0.6824000457388353,0.6990528517972221,Adult Mortality,-0.03765422161867346,Thinness 1-19 Years,0.13146540757727151,Diphtheria,0.06191850534941885,Bmi,-0.30967563416241667,67.15961413803981
Adult Mortality & Bmi & Hepatitis B & Hiv/Aids,0.6813057287355351,0.680267564972211,Adult Mortality,-0.02989946681801424,Hepatitis B,0.1615930919537414,Hiv/Aids,0.026432838358285245,Bmi,-0.44215263196763294,67.33143450731724
Adult Mortality & Bmi & Diphtheria & Thinness 5-9 Years,0.6795800385527982,0.6932436824667212,Adult Mortality,-0.03867444020691759,Diphtheria,0.11117911065626934,Thinness 5-9 Years,0.06931417413705013,Bmi,-0.3067294881976556,67.74505466859229
Adult Mortality & Diphtheria & Hiv/Aids & Thinness 1-19 Years,0.6785304061341237,0.6811480998990388,Adult Mortality,-0.03282997942507142,Thinness 1-19 Years,0.07502147323391604,Hiv/Aids,-0.40965345620086296,Diphtheria,-0.5370544271724587,72.17770320873184
Adult Mortality & Hiv/Aids & Polio & Thinness 1-19 Years,0.674181728477763,0.6787004396060373,Adult Mortality,-0.030576078704290664,Thinness 1-19 Years,-0.4334278551671052,Hiv/Aids,0.056777885625468184,Polio,-0.613234583969494,73.85220427702376
Adult Mortality & Bmi & Diphtheria & Polio,0.6738783724496729,0.6626317690018702,Adult Mortality,-0.040830789136455645,Diphtheria,0.14082895803598114,Polio,0.05148096833829322,Bmi,0.023499424820430135,64.92954061861685
Adult Mortality & Bmi & Hiv/Aids & Measles,0.6735540718081168,0.6841950045453886,Adult Mortality,-0.03307070631125937,Hiv/Aids,0.16011655101723563,Bmi,-0.3690363362629702,Measles,-1.2178836021027589e-05,69.95812417571868
Adult Mortality & Bmi & Hepatitis B & Thinness 5-9 Years,0.6720297150537685,0.6526717605096567,Adult Mortality,-0.04044152315535757,Hepatitis B,0.108964917565461,Thinness 5-9 Years,0.024234941697687355,Bmi,-0.38327897791972687,72.32956263010482
Adult Mortality & Hiv/Aids & Measles & Thinness 1-19 Years,0.6713474332818574,0.5964597116795205,Adult Mortality,-0.035919728014108414,Thinness 1-19 Years,-0.36372082450036297,Hiv/Aids,-1.2182745396531282e-05,Measles,-0.619570103896583,79.4362563421148
Adult Mortality & Bmi & Polio & Under-Five Deaths,0.6706710373085482,0.6471482552643812,Adult Mortality,-0.04142829371415507,Polio,0.13885119263543597,Under-Five Deaths,0.06197963173334571,Bmi,-0.0038351715603277578,66.39382581769134
Adult Mortality & Bmi & Thinness 5-9 Years & Under-Five Deaths,0.6697249385348172,0.6392294880164939,Adult Mortality,-0.040273781255947785,Under-Five Deaths,0.13109307867002862,Thinness 5-9 Years,-0.34815237152549433,Bmi,-0.0013123102670918336,73.13181150053417
Adult Mortality & Bmi & Measles & Polio,0.6680585738534568,0.6408727814041468,Adult Mortality,-0.04139624552312921,Polio,0.14408831921760834,Bmi,-1.9157364605060868e-05,Measles,0.05878966963007361,66.32824774539938
Adult Mortality & Bmi & Measles & Thinness 5-9 Years,0.6677243082628088,0.6499482839391474,Adult Mortality,-0.04097352472502041,Bmi,0.1253182133432022,Thinness 5-9 Years,-1.4421430457273335e-05,Measles,-0.3569598230531483,73.56426016639041
Adult Mortality & Hiv/Aids & Polio & Thinness 5-9 Years,0.6671510209227514,0.6815530912447482,Adult Mortality,-0.032895079155767566,Hiv/Aids,-0.4259771118125689,Thinness 5-9 Years,0.05804260866118784,Polio,-0.5428413809054097,73.69765765466661
Adult Mortality & Diphtheria & Hiv/Aids & Thinness 5-9 Years,0.6664710699695369,0.7019193113642208,Adult Mortality,-0.03163701002782929,Hiv/Aids,0.0774108407492528,Thinness 5-9 Years,-0.41728829777673176,Diphtheria,-0.4953872509868407,71.55880061405855
Adult Mortality & Bmi & Diphtheria & Under-Five Deaths,0.6643305695188728,0.6966939320742984,Adult Mortality,-0.03979814846329122,Diphtheria,0.14751782477097722,Under-Five Deaths,0.07645387942730691,Bmi,-0.002507700525948834,64.34769154090921
Adult Mortality & Hepatitis B & Hiv/Aids & Thinness 1-19 Years,0.6634879413341204,0.6460806677661662,Adult Mortality,-0.03370412779461087,Hepatitis B,0.02907429765909596,Thinness 1-19 Years,-0.39596632411601884,Hiv/Aids,-0.5946352433659482,76.75547920355234
Adult Mortality & Bmi & Polio & Thinness 5-9 Years,0.6616523550156359,0.735768726030032,Adult Mortality,-0.038517094422295985,Polio,0.1220754885455343,Thinness 5-9 Years,0.05154742488339302,Bmi,-0.34756530506505623,68.79554084697784
Adult Mortality & Bmi & Thinness 1-19 Years & Under-Five Deaths,0.6593446114963166,0.6843386292538098,Adult Mortality,-0.04107206309723426,Thinness 1-19 Years,0.11792940185217805,Under-Five Deaths,-0.36826613920011125,Bmi,-0.0006526513587282134,73.93302062941449
Adult Mortality & Bmi & Diphtheria & Hepatitis B,0.658372899576662,0.7078553905952654,Adult Mortality,-0.03974888794310036,Hepatitis B,0.14901736849324454,Diphtheria,0.09241925314892424,Bmi,-0.010885104396412286,63.68302748579532
Adult Mortality & Hiv/Aids & Thinness 1-19 Years & Under-Five Deaths,0.6560152764006051,0.6485223844199063,Adult Mortality,-0.03510177985156547,Thinness 1-19 Years,-0.40560019457249347,Hiv/Aids,-0.5692690761108811,Under-Five Deaths,-0.001164957880936955,79.20468725207449
Adult Mortality & Hiv/Aids & Thinness 1-19 Years & Thinness 5-9 Years,0.6539462559420961,0.6580048276817102,Adult Mortality,-0.03468592576000688,Thinness 1-19 Years,-0.37859718250139196,Thinness 5-9 Years,-0.3363634212004369,Hiv/Aids,-0.2534293596402511,79.06218386169182
Adult Mortality & Hepatitis B & Measles & Thinness 5-9 Years,0.652540617130966,0.5467371342547411,Adult Mortality,-0.04682075197988724,Hepatitis B,0.02531231149150637,Thinness 5-9 Years,-6.496790777093702e-06,Measles,-0.5151288820537023,78.22503765090636
Adult Mortality & Diphtheria & Hepatitis B & Thinness 1-19 Years,0.6515057517363565,0.6254618450335355,Adult Mortality,-0.04363717957637344,Hepatitis B,0.08179155510371766,Thinness 1-19 Years,-0.004016715950791129,Diphtheria,-0.5214675374305102,73.01419997477409
Adult Mortality & Hepatitis B & Measles & Thinness 1-19 Years,0.6509836004079854,0.553605749759559,Adult Mortality,-0.04582416024535672,Hepatitis B,0.0317470497947958,Thinness 1-19 Years,-6.826009811987989e-06,Measles,-0.5377566020017086,77.52309448794152
