,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,Other Variable3,Coefficent4,y intercept
Adult Mortality & Bmi & Diphtheria & Hiv/Aids,0.7070977558963698,0.686805850232025,Adult Mortality,-0.02942234037658259,Hiv/Aids,0.15041922497387364,Diphtheria,0.07876057538988682,Bmi,-0.40722204147321994,63.010869277313724
Adult Mortality & Bmi & Hiv/Aids & Thinness 1-19 Years,0.7069695940673983,0.6826389846975897,Adult Mortality,-0.029382631583612227,Thinness 1-19 Years,0.1203604432103915,Hiv/Aids,-0.44185550341259794,Bmi,-0.35487571369814025,72.67948073833259
Adult Mortality & Bmi & Hiv/Aids & Thinness 5-9 Years,0.6991842901720271,0.6882859069878488,Adult Mortality,-0.027652770194422135,Hiv/Aids,0.13390658365938737,Thinness 5-9 Years,-0.4847367402348503,Bmi,-0.3338164980694103,71.62380579754205
Adult Mortality & Bmi & Hiv/Aids & Under-Five Deaths,0.6980902571837805,0.6333336707188353,Adult Mortality,-0.03339148281268695,Hiv/Aids,0.14163617943946694,Under-Five Deaths,-0.4361518962480594,Bmi,-0.004312696352517007,71.08478992881422
Adult Mortality & Bmi & Diphtheria & Thinness 5-9 Years,0.6933413790321853,0.6615168866956365,Adult Mortality,-0.039043137949899324,Diphtheria,0.12467113694554034,Thinness 5-9 Years,0.07333510973636373,Bmi,-0.28838982356379195,66.66123373589511
Adult Mortality & Bmi & Hiv/Aids & Polio,0.6885401850118145,0.7172177185716321,Adult Mortality,-0.02935818223486372,Hiv/Aids,0.14853138520890857,Polio,-0.46345757754454525,Bmi,0.056963812866813936,64.98194649398077
Adult Mortality & Bmi & Diphtheria & Thinness 1-19 Years,0.6884366140683248,0.6848453700537922,Adult Mortality,-0.03850331330742343,Thinness 1-19 Years,0.11970826607030563,Diphtheria,0.06907145153218358,Bmi,-0.3489187632844127,67.40899621510864
Adult Mortality & Bmi & Thinness 1-19 Years & Thinness 5-9 Years,0.6842160299000724,0.6187218765792488,Adult Mortality,-0.04051891451951405,Thinness 1-19 Years,0.12032978040948902,Thinness 5-9 Years,-0.24922849472130415,Bmi,-0.13247028011730144,73.80809022827434
Adult Mortality & Diphtheria & Hiv/Aids & Thinness 1-19 Years,0.6840205285299388,0.6612196046734876,Adult Mortality,-0.03216689014272263,Thinness 1-19 Years,0.0841272364000513,Hiv/Aids,-0.41908112541790854,Diphtheria,-0.5232387699274659,71.22464652544362
Adult Mortality & Bmi & Diphtheria & Polio,0.6832047720111343,0.63332798090215,Adult Mortality,-0.03881899243724065,Diphtheria,0.1564017682776002,Polio,0.06437137270541055,Bmi,0.02977319923698948,62.14553647175472
Adult Mortality & Bmi & Hepatitis B & Hiv/Aids,0.6820605463983089,0.677720842732415,Adult Mortality,-0.03124835394662005,Hepatitis B,0.1633520890366786,Hiv/Aids,0.023549573677243044,Bmi,-0.41622742188449197,67.69887173204731
Adult Mortality & Diphtheria & Hiv/Aids & Thinness 5-9 Years,0.6819330891041031,0.6529716328514781,Adult Mortality,-0.03405091784795759,Hiv/Aids,0.06158293999865408,Thinness 5-9 Years,-0.42487825038632454,Diphtheria,-0.5228933045925519,73.61873023540686
Adult Mortality & Bmi & Hiv/Aids & Measles,0.6806859061367119,0.6620341404000047,Adult Mortality,-0.031425704444812665,Hiv/Aids,0.1596780201952807,Bmi,-0.4458252028330027,Measles,-2.8577159550709424e-05,69.86647172236101
Adult Mortality & Hiv/Aids & Polio & Thinness 1-19 Years,0.6775789586180793,0.6623325977971013,Adult Mortality,-0.03313172802118552,Thinness 1-19 Years,-0.3596679155117627,Hiv/Aids,0.058731130080748366,Polio,-0.5373477387869212,73.57055407944318
Adult Mortality & Diphtheria & Hepatitis B & Thinness 5-9 Years,0.6766057792536347,0.5339189833723139,Adult Mortality,-0.043169090842663314,Hepatitis B,0.0812070013928739,Thinness 5-9 Years,-0.0016058146544835593,Diphtheria,-0.5355058359033152,72.85867535372716
