,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,Other Variable3,Coefficent4,y intercept
Birth Per Woman & Income Composition Of Resources & Percentage Expenditure & Status Developed,0.7106321248519241,0.7737196209120311,Percentage Expenditure,-2.7363781829306872,Birth Per Woman,21.853431015743716,Status Developed,0.0004572418806212397,Income Composition Of Resources,0.36182227325092653,62.86486603365003
Income Composition Of Resources & Percentage Expenditure & Status Developed & Water,0.7108665960237347,0.7552477018652896,Percentage Expenditure,22.076064299267724,Water,0.0004237455605683241,Status Developed,1.0004786759175537,Income Composition Of Resources,0.2186287861648363,36.36662058685419
Birth Per Woman & Percentage Expenditure & Schooling & Status Developed,0.6687990242913096,0.7454290041019305,Percentage Expenditure,-3.2194757362163355,Birth Per Woman,0.0006161953503054573,Status Developed,0.9078733622253345,Schooling,0.5217230225689817,67.1373622033601
Gdp & Income Composition Of Resources & Status Developed & Water,0.7176453456632712,0.7316027468802463,Income Composition Of Resources,6.564634730527916e-05,Water,22.200548861772276,Status Developed,1.2827629161491234,Gdp,0.2095939785778711,37.03840674794109
Alcohol & Income Composition Of Resources & Status Developed & Water,0.7219838864792264,0.728458227393362,Alcohol,-0.29741611258146855,Water,27.773280395154046,Status Developed,3.153146839272909,Income Composition Of Resources,0.20224462985331115,35.53681947349166
Birth Per Woman & Income Composition Of Resources & Schooling & Status Developed,0.7175776234380806,0.7281864322122005,Birth Per Woman,-2.516582652106174,Schooling,23.46354141615994,Status Developed,0.18562451486304,Income Composition Of Resources,0.9067319489314529,59.20370683171038
Income Composition Of Resources & Military & Status Developed & Water,0.713263274737389,0.7263017723836191,Income Composition Of Resources,24.56815340642751,Military,0.1401709667250004,Status Developed,1.6556916219221982,Water,0.20380249854929888,36.11695097672899
Alcohol & Income Composition Of Resources & Military & Status Developed,0.634576141672488,0.7249469673403327,Alcohol,-0.203918135757223,Military,43.39745215263005,Status Developed,0.17077606850177673,Income Composition Of Resources,2.6942216171818103,41.690668016875684
Birth Per Woman & Percentage Expenditure & Population & Status Developed,0.6439411332831597,0.7233166240064619,Percentage Expenditure,-4.387290933532478,Birth Per Woman,0.0010763170984219143,Status Developed,-2.9839127319193637e-09,Population,1.4637116646765091,81.25981191414118
Income Composition Of Resources & Military & Schooling & Status Developed,0.6440555531977429,0.7192149411439446,Schooling,31.698754470142433,Military,0.4170739944961843,Status Developed,0.7637161855184562,Income Composition Of Resources,1.0764337888030422,38.688356874771785
Gdp & Income Composition Of Resources & Population & Status Developed,0.6312112961659355,0.7188715159575756,Income Composition Of Resources,5.892387585124549e-05,Population,39.21901366800604,Status Developed,3.842757223537774e-10,Gdp,1.3340691658133803,43.543104502407026
Alcohol & Schooling & Status Developed & Water,0.6863799659133849,0.7177246765998239,Alcohol,-0.27102667698085986,Water,1.0629142277774237,Status Developed,3.3664923240301574,Schooling,0.2788924155696655,33.90760907733764
Income Composition Of Resources & Population & Status Developed & Water,0.7163649689040905,0.7170011169277586,Income Composition Of Resources,24.53724098625901,Water,-2.0340406242839978e-09,Status Developed,1.662597499846482,Population,0.20510510061574133,36.27854516846725
Birth Per Woman & Gdp & Income Composition Of Resources & Status Developed,0.7291776883569461,0.7164637630769682,Birth Per Woman,-2.789127114804742,Income Composition Of Resources,8.354102527591647e-05,Status Developed,22.7142778972617,Gdp,0.2562533410643937,62.24272186210367
Birth Per Woman & Gdp & Status Developed & Water,0.7071243766316848,0.7150099830925166,Birth Per Woman,-2.188950807529685,Water,0.00012091775370609657,Status Developed,1.631303864612861,Gdp,0.20968579167373882,57.46833049929437
Birth Per Woman & Income Composition Of Resources & Military & Status Developed,0.7238545232794391,0.7147056588049978,Birth Per Woman,-2.396974941693384,Military,28.155792459747737,Status Developed,0.25152892385584735,Income Composition Of Resources,0.8489605590828901,57.60491550734435
Population & Schooling & Status Developed & Water,0.6781941764588525,0.7094969782320699,Schooling,-1.649838567274347e-09,Water,0.8591046363230246,Status Developed,2.779063774288685,Population,0.26184864487567994,36.77317409695046
Gdp & Income Composition Of Resources & Schooling & Status Developed,0.6473234664958991,0.7086979294449354,Schooling,4.0560277907799364e-05,Income Composition Of Resources,29.813446244584526,Status Developed,0.8056758901236911,Gdp,0.5842917985699128,39.99394047144489
Alcohol & Birth Per Woman & Income Composition Of Resources & Status Developed,0.7364602109985847,0.7086003755709602,Alcohol,-0.285321331735371,Birth Per Woman,-2.609690186010396,Status Developed,28.864694597377127,Income Composition Of Resources,2.083205356518113,59.404607537464344
Birth Per Woman & Status Developed & Total Expenditure & Water,0.6912278421441684,0.7071140187763002,Total Expenditure,-2.1092711693820716,Water,2.768917625428442,Status Developed,0.28462133592474714,Birth Per Woman,0.21953003642922475,55.20513931651744
Birth Per Woman & Income Composition Of Resources & Status Developed & Water,0.7422893651792775,0.7065257514884512,Birth Per Woman,-1.7640017385740956,Water,20.68285658442897,Status Developed,1.107688147082001,Income Composition Of Resources,0.1200952100242354,51.00266433906114
Income Composition Of Resources & Military & Population & Status Developed,0.6389652031369738,0.7057512312169254,Income Composition Of Resources,41.864544394628126,Military,0.45602819343821277,Status Developed,-1.1192530235959453e-10,Population,1.9125851607967157,41.28647661285089
Birth Per Woman & Schooling & Status Developed & Total Expenditure,0.6661441550562055,0.7045686292448361,Total Expenditure,-3.3214992259559435,Birth Per Woman,0.9292527630748333,Status Developed,1.561288188518677,Schooling,0.062073458170852,67.10389089548545
