,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,Other Variable3,Coefficent4,y intercept
Alcohol & Birth Per Woman & Income Composition Of Resources & Military,0.7074468002591159,0.7738853752208754,Alcohol,-0.15328733462297806,Birth Per Woman,-2.719653993736264,Military,27.318969932120257,Income Composition Of Resources,0.13991025251129674,60.241994611533315
Birth Per Woman & Income Composition Of Resources & Military & Total Expenditure,0.712958126474052,0.7558448497404907,Total Expenditure,-2.707386263187021,Birth Per Woman,25.286738671012856,Military,0.3207006060039408,Income Composition Of Resources,0.19973314995360525,59.15842621306012
Gdp & Income Composition Of Resources & Military & Population,0.6254747065946084,0.7451026605069263,Income Composition Of Resources,6.856352731276865e-05,Population,40.902929209370086,Military,0.3710186303270083,Gdp,-5.4150461892277235e-11,41.97158468317615
Birth Per Woman & Gdp & Income Composition Of Resources & Military,0.7237145541226706,0.7431728716838932,Income Composition Of Resources,-2.6483393535868514,Birth Per Woman,7.916749495986259e-05,Military,23.510868844039276,Gdp,0.3537518861845751,60.72422904602875
Income Composition Of Resources & Military & Population & Water,0.7042071326086152,0.7374075718520657,Income Composition Of Resources,27.720486236503934,Water,0.16389820339837488,Military,-1.3296821421704408e-09,Population,0.19172008164802676,35.19615739487064
Alcohol & Income Composition Of Resources & Military & Water,0.7092685099334106,0.731297532429533,Alcohol,-0.14415058294754482,Water,27.80787960503237,Military,0.11074880220962613,Income Composition Of Resources,0.21348693891861714,34.150939430723135
Birth Per Woman & Fdi & Income Composition Of Resources & Military,0.7177412804953532,0.7312453596847418,Fdi,-2.6750992460827154,Birth Per Woman,0.009818163748948727,Military,26.034155163622792,Income Composition Of Resources,0.30886243263764496,59.82060477896307
Income Composition Of Resources & Military & Total Expenditure & Water,0.7107397782303047,0.728130805522744,Total Expenditure,27.802007411111383,Water,0.04804688368777402,Military,0.18208595175752768,Income Composition Of Resources,0.2004516479481147,33.46584038408466
Birth Per Woman & Income Composition Of Resources & Military & Water,0.7332645615324369,0.7276321435408942,Income Composition Of Resources,-1.7178498227266672,Water,24.427328307598444,Military,0.2593856562350173,Birth Per Woman,0.09677993996323053,50.13293584165688
Birth Per Woman & Income Composition Of Resources & Military & Population,0.725768767772948,0.7051540262471924,Income Composition Of Resources,-2.6497249745746734,Birth Per Woman,26.252479056130188,Military,0.3535092213399061,Population,-1.4387460112175177e-09,59.63478055008746
Birth Per Woman & Income Composition Of Resources & Military & Schooling,0.7297452703467106,0.7008877243957881,Schooling,-2.400699058320221,Birth Per Woman,24.789024614299286,Military,0.2889804524659294,Income Composition Of Resources,0.2160991707712583,57.25443518013018
Birth Per Woman & Gdp & Military & Water,0.7076090713321812,0.6994073901074056,Gdp,-2.32539128243679,Water,0.0001251781851184441,Military,-0.11195335290934087,Birth Per Woman,0.20497723852855684,58.72394720640966
Alcohol & Birth Per Woman & Military & Water,0.6703425058863297,0.6979172856696135,Alcohol,0.07950437379604988,Water,-2.4162842473676114,Military,0.07498114120521904,Birth Per Woman,0.2207305383984317,57.667146445850875
Birth Per Woman & Military & Percentage Expenditure & Water,0.7080832734244815,0.6955775264523795,Percentage Expenditure,-2.5553678609094095,Water,0.06417504729237213,Military,0.0010037549972444354,Birth Per Woman,0.1910600549029668,60.10711551978719
Birth Per Woman & Gdp & Military & Schooling,0.686896834895409,0.6949687863837841,Schooling,-3.2887467776114985,Birth Per Woman,9.723690797965533e-05,Military,0.24999464537262414,Gdp,0.8977512875675706,66.91441837579976
Gdp & Military & Schooling & Water,0.6912532643792161,0.6948090625256012,Schooling,0.0001021286793524672,Water,-0.062121567850167037,Military,0.7948978860289662,Gdp,0.2772758384765869,36.291308770950764
Gdp & Income Composition Of Resources & Military & Water,0.7281608875760546,0.6933208077212363,Income Composition Of Resources,8.839641284976846e-05,Water,21.49299700017801,Military,0.11815580496452732,Gdp,0.22103001733783145,36.41666364579578
Alcohol & Gdp & Military & Water,0.6564942930197191,0.692061490325547,Alcohol,0.00891250710921902,Water,0.00014347870679733707,Military,-0.22196771428649023,Gdp,0.35347880763309003,39.53090773148095
Military & Percentage Expenditure & Schooling & Water,0.693660546938353,0.6914320117531365,Percentage Expenditure,0.07120103173705873,Water,0.0006025081082911719,Military,0.8856108213961194,Schooling,0.274161116457992,35.21610690657498
Fdi & Income Composition Of Resources & Military & Water,0.7219839627856424,0.6863733280914464,Fdi,0.013904912427205499,Water,26.00343182267764,Military,0.14044214562185364,Income Composition Of Resources,0.20751992510304262,35.09186267144367
Income Composition Of Resources & Military & Schooling & Water,0.7201721604309185,0.6859552649974618,Schooling,29.40236631302523,Water,0.02722802234012056,Military,0.10474542279237405,Income Composition Of Resources,0.16930820675749667,34.95403372503215
Military & Population & Schooling & Water,0.6763746851367408,0.6856573106867541,Schooling,-0.046720026965850835,Water,-1.4038476263418792e-09,Military,1.0820459737255352,Population,0.2671830027437292,34.019315533611696
Income Composition Of Resources & Military & Schooling & Total Expenditure,0.6572112224259777,0.685004444456249,Total Expenditure,33.94732020305832,Schooling,0.33023744679009515,Military,0.6882727463293908,Income Composition Of Resources,0.09134230354151918,38.00172813773125
Alcohol & Income Composition Of Resources & Military & Population,0.642270887163078,0.6843006343274691,Alcohol,-0.12327277892580511,Income Composition Of Resources,46.07007869230787,Military,0.16968445108130917,Population,-1.306780461618473e-09,39.92017191411145
Fdi & Income Composition Of Resources & Military & Total Expenditure,0.6477683725718512,0.684181931713905,Total Expenditure,0.011064588496436758,Fdi,44.861990368310366,Military,0.294574138920467,Income Composition Of Resources,0.2162689141894063,38.35062061230145
Birth Per Woman & Military & Population & Schooling,0.6687377249902065,0.6823261821267861,Schooling,-3.313585169075362,Birth Per Woman,0.1637071904806075,Military,-1.05763861557584e-09,Population,1.0840415575053959,65.48363735559538
Fdi & Military & Schooling & Water,0.6793057427437156,0.6808412841690243,Fdi,0.019525152642496765,Water,-0.04890698797098292,Military,1.0338131612133648,Schooling,0.26756856907960586,34.62489239423367
Fdi & Gdp & Military & Water,0.6605701071975218,0.6805204416707286,Fdi,0.019106489038538583,Water,0.00013547375334851475,Military,-0.12113833256433632,Gdp,0.35878986801158985,38.67237657587538
Birth Per Woman & Fdi & Gdp & Military,0.6608298878913212,0.6791171581975096,Fdi,-4.43165076095798,Birth Per Woman,0.00820400180389635,Military,0.00015644017106362582,Gdp,0.12048288973606426,81.34803381006917
Gdp & Income Composition Of Resources & Military & Schooling,0.6629420384460496,0.6767140237828964,Schooling,4.563400749311452e-05,Income Composition Of Resources,33.4765564587395,Military,0.20030362479214014,Gdp,0.657583813329552,39.06191880410901
Fdi & Military & Percentage Expenditure & Water,0.662311303341174,0.676445887631967,Percentage Expenditure,0.013913911633100155,Water,-0.03744935823434673,Military,0.0009835824162399767,Fdi,0.35432640427809914,39.29181396937928
Birth Per Woman & Military & Percentage Expenditure & Population,0.6594248655579764,0.6753009232497604,Percentage Expenditure,-4.487219421113975,Birth Per Woman,0.16345633846438276,Military,0.0010211734506540395,Population,-3.313688934358794e-09,81.630499569048
Alcohol & Income Composition Of Resources & Military & Schooling,0.6694864285696035,0.6749702212031463,Alcohol,-0.24156867773572566,Schooling,35.66702667691699,Military,0.2235317221787314,Income Composition Of Resources,0.8677152815733962,36.57566960177883
Birth Per Woman & Military & Total Expenditure & Water,0.6862180656740609,0.6735339477578723,Total Expenditure,-2.474825374679404,Water,-0.07018826526875643,Military,0.40285237034809723,Birth Per Woman,0.21967706239425822,56.03205541754876
Income Composition Of Resources & Military & Population & Total Expenditure,0.6481299570847641,0.6731432550968044,Total Expenditure,43.596481339084974,Income Composition Of Resources,0.3606775863720868,Military,6.431585819477448e-10,Population,0.20096655590440865,39.37816855061095
Alcohol & Birth Per Woman & Gdp & Military,0.6624516018089224,0.6728344989713909,Alcohol,-0.07564278752577316,Birth Per Woman,-4.5718163923601685,Military,0.00014924789841508357,Gdp,0.10871927810122585,82.17217828163363
Fdi & Military & Population & Water,0.6243781666502523,0.6721192058439808,Fdi,0.017598499499240153,Water,-0.07610068804700998,Military,-4.351157351090151e-09,Population,0.39502506734987375,36.63976716077956
Military & Percentage Expenditure & Population & Water,0.6636845878630178,0.6713696129407818,Percentage Expenditure,-0.06512996290899245,Water,0.0009191252743434588,Military,-3.892754019954245e-09,Population,0.3675896121120341,38.299277591707344
