,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,Other Variable3,Coefficent4,y intercept
Birth Per Woman & Gdp & Schooling & Water,0.7296903946528075,0.6793103098756668,Schooling,-2.0468469948294024,Water,0.00011113158579433973,Birth Per Woman,0.6135486153424193,Gdp,0.15453593349993705,54.4110731056423
Birth Per Woman & Gdp & Total Expenditure & Water,0.7169657821274953,0.689090338832968,Gdp,-2.4775125770512187,Total Expenditure,0.00012826223580292712,Water,0.2372755580144425,Birth Per Woman,0.1889842870257899,58.75630231847723
Birth Per Woman & Fdi & Percentage Expenditure & Water,0.7165661730393971,0.6732362994280595,Percentage Expenditure,-2.561095322034782,Water,0.013369570860814072,Birth Per Woman,0.0008038264551819178,Fdi,0.18901079715544156,60.64790439499387
Birth Per Woman & Percentage Expenditure & Total Expenditure & Water,0.7164587579025874,0.6869292968964711,Percentage Expenditure,-2.2628881764323294,Total Expenditure,0.0007270848024647082,Water,0.279755606020867,Birth Per Woman,0.2136172440038384,56.04540133376487
Birth Per Woman & Percentage Expenditure & Schooling & Water,0.7136944699358961,0.7168609708601175,Percentage Expenditure,-1.8910453207041906,Water,0.0006450809955667672,Birth Per Woman,0.6189097769100342,Schooling,0.17726211917527548,51.90771674520948
Alcohol & Birth Per Woman & Gdp & Water,0.7112850982321003,0.696380886547121,Alcohol,-0.08643516007476938,Water,-2.6747816606726493,Birth Per Woman,0.00013496233905865434,Gdp,0.18246692503449352,61.80965492798671
Birth Per Woman & Military & Percentage Expenditure & Water,0.7094507367777239,0.6938354651721848,Percentage Expenditure,-2.35558570328251,Water,0.05873897509911553,Military,0.0009301809091847917,Birth Per Woman,0.2013767277261802,58.784021128874976
Birth Per Woman & Fdi & Schooling & Water,0.7093955179109039,0.683743460977012,Fdi,-1.8124167433810214,Water,0.013183930797621434,Birth Per Woman,0.8052186430656729,Schooling,0.17101220017369523,50.68095438901581
Birth Per Woman & Gdp & Population & Water,0.707806129838398,0.7042324373966202,Population,-2.4313509614564324,Water,0.00013705144528788926,Birth Per Woman,-3.3125881933001186e-09,Gdp,0.19410734332249532,59.6796065911557
Birth Per Woman & Population & Schooling & Water,0.7077715724287952,0.6790901884624216,Schooling,-1.651911068572756,Water,-1.8830083533099686e-09,Birth Per Woman,0.8131347082935946,Population,0.19314166066495958,48.23972755760528
Alcohol & Gdp & Schooling & Water,0.7074846300440838,0.6631048074335729,Alcohol,-0.16762292804985315,Water,0.00010567364640162923,Schooling,0.9844816914713658,Gdp,0.27545248543408,34.68170639760551
Alcohol & Birth Per Woman & Schooling & Water,0.7069524715552231,0.6943837193569529,Alcohol,-0.13286504762843038,Water,-1.9773178335343735,Birth Per Woman,0.9073854565052851,Schooling,0.16767714183011476,50.90705797776741
Birth Per Woman & Gdp & Percentage Expenditure & Water,0.7066213305276312,0.7070945005938543,Percentage Expenditure,-2.401022783491529,Water,3.914914488861935e-05,Birth Per Woman,0.0005862887871138466,Gdp,0.20004286845783986,59.17352807760014
Birth Per Woman & Percentage Expenditure & Population & Water,0.7058725815694966,0.7089341090306962,Percentage Expenditure,-2.252265688738586,Water,0.000815510125588728,Birth Per Woman,-3.501833670865717e-09,Population,0.21416922546377254,57.6376612561201
