,country,year,status,lifeexpectancy,adultmortality,infantdeaths,alcohol,percentageexpenditure,hepatitisb,measles,bmi,under-fivedeaths,polio,totalexpenditure,diphtheria,hiv/aids,gdp,population,thinness1-19years,thinness5-9years,incomecompositionofresources,schooling,fdi,birth_per_woman,water,math4,gini,out_of_pocket_share,aid_perperson,poverty,electricity,cellphone
0,afghanistan,2015,Developing,65.0,263.0,62,0.01,71.27962362,65.0,1154,19.1,83,6.0,8.16,65.0,0.1,584.2592099999999,33736494.0,17.2,17.3,0.479,10.1,0.8496793152954041,4.8,61.5,,,,124.20175767323,,,19709038.0
1,afghanistan,2014,Developing,59.9,271.0,64,0.01,73.52358168,62.0,492,18.6,86,58.0,8.18,62.0,0.1,612.696514,327582.0,17.5,17.5,0.47600000000000003,10.0,0.20979022919517104,4.98,58.8,,,,148.122643256368,,,18407168.0
2,afghanistan,2013,Developing,59.9,268.0,66,0.01,73.21924272,64.0,430,18.1,89,62.0,8.13,64.0,0.1,631.744976,31731688.0,17.7,17.7,0.47,9.9,0.23496531737912196,5.17,56.2,,,,159.67169706011802,,,16807156.0
3,afghanistan,2012,Developing,59.5,272.0,69,0.01,78.18421529999999,67.0,2787,17.6,93,67.0,8.52,67.0,0.1,669.959,3696958.0,17.9,18.0,0.46299999999999997,9.8,0.28409534809774,5.38,53.5,,,,213.94337719654098,,,15340115.0
4,afghanistan,2011,Developing,59.2,275.0,71,0.01,7.097108703,68.0,3013,17.2,97,68.0,7.87,68.0,0.1,63.537231000000006,2978599.0,18.2,18.2,0.45399999999999996,9.5,0.293038636907132,5.6,50.9,,,,223.98139688740898,,,13797879.0
5,afghanistan,2010,Developing,58.8,279.0,74,0.01,79.67936736,66.0,1989,16.7,102,66.0,9.2,66.0,0.1,553.32894,2883167.0,18.4,18.4,0.44799999999999995,9.2,1.20312510873944,5.82,48.4,,,83.0,213.644389464221,,,10215840.0
6,afghanistan,2009,Developing,58.6,281.0,77,0.01,56.76221682,63.0,2861,16.2,106,63.0,9.42,63.0,0.1,445.89329789999994,284331.0,18.6,18.7,0.434,8.9,0.451055983077692,6.04,45.8,,,83.1,215.290029104523,,,10500000.0
7,afghanistan,2008,Developing,58.1,287.0,80,0.03,25.87392536,64.0,1599,15.7,110,64.0,8.33,64.0,0.1,373.3611163,2729431.0,18.8,18.9,0.433,8.7,0.39917073436739103,6.25,43.3,,,82.9,173.550323246818,,,7898909.0
8,afghanistan,2007,Developing,57.5,295.0,82,0.02,10.91015598,63.0,1141,15.2,113,63.0,6.73,63.0,0.1,369.835796,26616792.0,19.0,19.1,0.415,8.4,1.9357017303706898,6.46,40.8,,,82.6,183.85650613261902,,,4668096.0
9,afghanistan,2006,Developing,57.3,295.0,84,0.03,17.17151751,64.0,1990,14.7,116,58.0,7.43,58.0,0.1,272.56377000000003,2589345.0,19.2,19.3,0.405,8.1,3.41400388707376,6.65,38.4,,,82.9,109.55338818934601,,,2520366.0
10,afghanistan,2005,Developing,57.3,291.0,85,0.02,1.388647732,66.0,1296,14.2,118,58.0,8.7,58.0,0.1,25.2941299,257798.0,19.3,19.5,0.396,7.9,4.3645335437657895,6.83,36.3,,,83.1,109.732193881599,,,1200000.0
11,afghanistan,2004,Developing,57.0,293.0,87,0.02,15.29606643,67.0,466,13.8,120,5.0,8.79,5.0,0.1,219.1413528,24118979.0,19.5,19.7,0.381,6.8,3.57581862928125,6.99,34.1,,,86.6,91.7442075652716,,,600000.0
12,afghanistan,2003,Developing,56.7,295.0,87,0.01,11.08905273,65.0,798,13.4,122,41.0,8.82,41.0,0.1,198.7285436,2364851.0,19.7,19.9,0.373,6.5,1.2800174574678602,7.14,32.0,,,87.6,64.95664709582469,,,200000.0
